"発動成長なし",1,0,0,0,0,0,0,0,0,0,0,0
"発動確率サンプル成長1",2,4,20,30,40,50,0,0,0,0,0,0
"発動確率サンプル成長2",3,4,30,45,60,75,0,0,0,0,0,0
"発動確率サンプル成長3",4,4,40,60,80,100,0,0,0,0,0,0
"発動確率_初期値5",5,4,7,10,13,16,0,0,0,0,0,0
"発動確率_初期値7",6,4,10,13,16,20,0,0,0,0,0,0
"発動確率_初期値10",7,4,13,16,20,25,0,0,0,0,0,0
"発動確率_初期値12",8,4,16,20,25,30,0,0,0,0,0,0
"発動確率_初期値15",9,4,20,25,30,35,0,0,0,0,0,0
"発動確率_初期値20",10,4,25,30,35,40,0,0,0,0,0,0
"発動確率_初期値25",11,4,30,35,40,45,0,0,0,0,0,0
"発動確率_初期値30",12,4,35,40,45,50,0,0,0,0,0,0
"発動確率_初期値35",13,4,40,45,50,55,0,0,0,0,0,0
"発動確率_初期値40",14,4,45,50,55,60,0,0,0,0,0,0
"発動確率_固定30",15,4,30,30,30,30,0,0,0,0,0,0
"発動確率_固定50",16,4,50,50,50,50,0,0,0,0,0,0
"発動確立_初期値24",17,4,28,32,36,40,0,0,0,0,0,0
