"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","30","0","100","200","300","400","500","600","700","800","900","1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900"
"2","30","0","19","53","96","149","208","273","344","420","501","587","677","772","870","973","1079","1188","1302","1418","1538","1661","1787","1916","2048","2183","2321","2462","2605","2751","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900"
"3","30","0","3","14","31","55","86","124","169","221","279","345","417","497","583","676","776","883","997","1117","1245","1379","1521","1669","1824","1986","2155","2331","2514","2703","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900","2900"
"4","20","0","50","100","200","350","550","750","1000","1300","1600","1950","2350","2750","3200","3650","4150","4700","5300","5900","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500","6500"
"5","50","0","100","200","400","650","900","1250","1600","2000","2450","2950","3450","4050","4600","5250","5900","6600","7300","8050","8850","9650","10500","11400","12300","13200","14150","15150","16150","17200","18300","19400","20500","21650","22800","24050","25250","26500","27800","29100","30400","31750","33150","34550","35950","37400","38900","40400","41900","43450","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000","45000"
"6","70","0","100","200","450","750","1100","1550","2100","2700","3350","4100","4900","5800","6750","7750","8850","10000","11200","12500","13850","15250","16700","18250","19850","21550","23250","25050","26950","28850","30850","32900","35000","37200","39400","41700","44100","46500","49000","51550","54150","56800","59550","62300","65150","68100","71050","74100","77150","80300","83500","86800","90100","93500","96950","100450","104000","107650","111300","115050","118850","122700","126600","130600","134650","138700","142850","147050","151350","155650","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000","160000"
"7","90","0","100","250","500","900","1400","2000","2700","3550","4500","5600","6750","8100","9500","11050","12700","14500","16400","18450","20600","22850","25250","27750","30400","33150","36000","39000","42150","45400","48750","52250","55850","59600","63450","67450","71550","75750","80100","84600","89200","93950","98800","103750","108850","114100","119450","124900","130500","136250","142100","148050","154150","160400","166750","173250","179850","186550","193450","200400","207550","214750","222150","229600","237250","245000","252850","260850","269000","277250","285600","294100","302750","311500","320400","329400","338550","347850","357250","366750","376400","386200","396100","406150","416300","426600","437050","447600","458300","469100","480000","480000","480000","480000","480000","480000","480000","480000","480000","480000","480000"
"8","90","0","100","350","650","1100","1600","2150","2850","3550","4400","5250","6200","7250","8300","9450","10650","11950","13250","14650","16100","17650","19200","20800","22500","24250","26050","27900","29800","31750","33750","35800","37950","40100","42300","44600","46900","49250","51700","54150","56650","59250","61850","64500","67200","70000","72800","75650","78550","81500","84500","87500","90600","93750","96900","100150","103400","106700","110050","113450","116900","120400","123950","127500","131150","134800","138500","142250","146050","149900","153750","157700","161650","165650","169700","173800","177900","182100","186300","190550","194850","199200","203550","207950","212450","216950","221450","226050","230650","235350","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000"
"9","20","0","50","150","300","550","800","1100","1500","1900","2400","2900","3500","4100","4750","5500","6250","7050","7900","8800","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750","9750"
