"0","INVALID","0","0","0","0","0","0"
"1","パワーN","35030","1","1","100","0","0"
"2","パワーR","35031","1","2","350","0","0"
"3","パワーSR","35032","1","3","1500","0","0"
"4","パワーSSR","35033","1","4","25000","0","0"
"5","テクニックN","35076","2","1","100","0","0"
"6","テクニックR","35077","2","2","350","0","0"
"7","テクニックSR","35078","2","3","1500","0","0"
"8","テクニックSSR","35079","2","4","25000","0","0"
"9","スタミナN","35066","3","1","100","0","0"
"10","スタミナR","35067","3","2","350","0","0"
"11","スタミナSR","35068","3","3","1500","0","0"
"12","スタミナSSR","35069","3","4","25000","0","0"
"13","アピールN","35001","4","1","100","0","0"
"14","アピールR","35002","4","2","350","0","0"
"15","アピールSR","35003","4","3","1500","0","0"
"16","アピールSSR","35004","4","4","25000","0","0"
"17","スキル1","35088","0","1","0","0","10"
"18","スキル2","35089","0","2","0","0","25"
"19","スキル3","35090","0","3","0","0","50"
"20","スキル4","35091","0","4","0","0","100"
"21","パワーR","35642","1","2","350","0","0"
"22","パワーSR","35643","1","3","1500","0","0"
"23","パワーSSR","35644","1","4","25000","0","0"
"24","テクニックR","35656","2","2","350","0","0"
"25","テクニックSR","35657","2","3","1500","0","0"
"26","テクニックSSR","35658","2","4","25000","0","0"
"27","スタミナR","35649","3","2","350","0","0"
"28","スタミナSR","35650","3","3","1500","0","0"
"29","スタミナSSR","35651","3","4","25000","0","0"
"30","アピールR","35635","4","2","350","0","0"
"31","アピールSR","35636","4","3","1500","0","0"
"32","アピールSSR","35637","4","4","25000","0","0"
