"2","50248","5","50250","5","50375","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","50261","5","50300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","50324","5","50325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","50327","5","50328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","50341","5","50342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","50351","5","50352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","50353","5","50354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","50362","5","50363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","50407","5","50424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","50316","0","50317","0","50442","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","50412","5","50413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","50437","0","50438","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","50510","0","50511","0","50512","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","50715","5","50410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","50714","5","51322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","51120","0","51121","0","51122","0","51461","0","51459","0","51460","0","0","0","0","0","0","0","0"
