"強化できない",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+2",2,2,20000,4,30000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+3",3,2,20000,4,30000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+7A",4,4,5000,1,5000,1,20000,2,20000,4,0,0,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+7C",5,5,1000,0,2000,0,4000,0,6000,0,10000,0,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+8",6,5,5000,1,10000,1,20000,2,20000,2,20000,2,0,0,0,0,0,0,0,0,0,0
"SR必要EXP：効果+9",7,5,5000,1,10000,1,20000,2,20000,2,20000,2,0,0,0,0,0,0,0,0,0,0
"SSR必要EXP：効果+14",8,7,5000,0,10000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
"SSR必要EXP：効果+14A",9,7,5000,0,5000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
"SSR必要EXP：効果+15",10,7,5000,0,10000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
"SSR必要EXP：効果+16",11,7,5000,0,10000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
"SR必要EXP：効果+1C",12,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSR必要EXP：効果+18",13,7,5000,0,10000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
"SSR必要EXP：効果+10",14,7,5000,0,10000,1,10000,1,10000,1,10000,1,20000,2,20000,2,0,0,0,0,0,0
