"1","0"
"2","1"
"3","1"
"4","1"
"5","2"
"6","3"
"7","3"
"8","3"
"9","4"
"10","4"
"11","4"
"12","1"
"13","1"
"14","1"
"15","2"
"16","3"
"17","3"
"18","3"
"19","4"
"20","4"
"21","4"
"22","2"
"23","3"
"24","3"
"25","3"
"26","4"
"27","4"
"28","4"
"29","1"
"30","0"
"31","6"
"32","8"
"33","8"
"34","8"
"35","8"
"36","8"
"37","8"
"38","8"
"39","8"
"40","8"
"41","5"
"42","5"
"43","5"
"44","5"
"45","5"
"46","5"
"47","9"
"48","9"
"49","9"
"50","9"
"51","9"
"52","9"
"53","12"
"54","12"
"55","11"
"56","20"
"57","20"
"58","21"
"59","20"
"60","21"
"61","22"
"62","16"
"63","16"
"64","16"
"65","16"
"66","16"
"67","16"
"68","14"
"69","0"
"70","0"
"71","0"
"72","0"
"73","19"
"74","1"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","7"
"82","0"
"83","12"
"84","5"
"85","1"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","8"
"93","16"
"94","16"
"95","16"
"96","5"
"97","5"
"98","5"
"99","8"
"100","8"
"101","4"
"102","14"
"103","1"
"104","8"
"105","4"
"106","12"
"107","14"
"108","1"
"109","1"
"110","11"
"111","1"
"112","17"
"113","17"
"114","5"
"115","20"
"116","5"
"117","5"
"118","5"
"119","7"
"120","15"
"121","15"
"122","12"
"123","0"
"124","4"
"125","14"
"126","1"
"127","1"
"128","1"
"129","5"
"130","5"
"131","5"
"132","0"
"133","5"
"134","5"
"135","10"
"136","12"
"137","8"
"138","8"
"139","8"
"140","8"
"141","8"
"142","8"
"143","14"
"144","14"
"145","4"
"146","4"
"147","14"
"148","14"
"149","1"
"150","1"
"151","1"
"152","1"
"153","17"
"154","17"
"155","17"
"156","17"
"157","5"
"158","5"
"159","20"
"160","20"
"161","5"
"162","5"
"163","5"
"164","5"
"165","15"
"166","15"
"167","15"
"168","15"
"169","12"
"170","12"
"171","1"
"172","1"
"173","14"
"174","14"
"175","1"
"176","1"
"177","1"
"178","1"
"179","1"
"180","1"
"181","5"
"182","5"
"183","5"
"184","5"
"185","5"
"186","5"
"187","10"
"188","10"
"189","11"
"190","1"
"191","12"
"192","4"
"193","0"
"194","4"
"195","4"
"196","16"
"197","14"
"198","5"
"199","6"
"200","9"
"201","9"
"202","9"
"203","9"
"204","9"
"205","9"
"206","16"
"207","10"
"208","4"
"209","10"
"210","5"
"211","4"
"212","4"
"213","0"
"214","25"
"215","16"
