"0",,,,"2",,,,,,,,,,,,,,,,
"1",,,,"2",,,,,,,,,,,,,,,,
"2",,"54",,"2",,,,,,,,,,,,,,,,
"3",,"150",,"2",,,,,,,,,,,,,,,,
"4",,"840",,"2",,,,,,,,,,,,,,,,
"5",,"2840",,"2",,,,,,,,,,,,,,,,
"6",,,"8","2",,,,,,,,,,,,,,,,
"7",,,"9","2",,,,,,,,,,,,,,,,
"8",,,"10","2",,,,,,,,,,,,,,,,
"9","1","203014",,"2",,,,,,,,,,,,,,,,
"10","2","386701",,"2",,,,,,,,,,,,,,,,
"11",,,"15","2",,,,,,,,,,,,,,,,
"12",,,"17","2",,,,,,,,,,,,,,,,
"13",,,"19","2",,,,,,,,,,,,,,,,
"14","3","494601",,"2",,,,,,,,,,,,,,,,
"15","4","614601",,"2",,,,,,,,,,,,,,,,
