"成長効果なし",1,0,0,0,0,0,0,0,0,0,0,0
"サンプル効果1",2,4,2,3,4,5,0,0,0,0,0,0
"サンプル効果2",3,4,4,6,8,10,0,0,0,0,0,0
"サンプル効果3",4,9,2,3,4,5,6,7,8,9,10,0
"SR水着_パッシブ",5,4,2,3,4,5,0,0,0,0,0,0
"SR水着_パッシブ_マイナス",6,4,-2,-3,-4,-5,0,0,0,0,0,0
"SSR水着_パッシブ",7,4,4,6,8,10,0,0,0,0,0,0
"SSR水着_パッシブ_マイナス",8,4,-4,-6,-8,-10,0,0,0,0,0,0
"効果_初期値5",9,4,7,10,13,16,0,0,0,0,0,0
"効果_初期値7",10,4,10,13,16,20,0,0,0,0,0,0
"効果_初期値10",11,4,12,16,20,25,0,0,0,0,0,0
"効果_初期値12",12,4,15,20,25,30,0,0,0,0,0,0
"効果_初期値15",13,4,20,25,30,35,0,0,0,0,0,0
"効果_初期値20",14,4,25,30,35,40,0,0,0,0,0,0
"効果_初期値25",15,4,30,35,40,45,0,0,0,0,0,0
"効果_初期値30",16,4,35,40,45,50,0,0,0,0,0,0
"効果_初期値35",17,4,40,45,50,55,0,0,0,0,0,0
"効果_初期値40",18,4,45,50,55,60,0,0,0,0,0,0
"効果_初期値-5",19,4,-7,-10,-13,-16,0,0,0,0,0,0
"効果_初期値-7",20,4,-10,-13,-16,-20,0,0,0,0,0,0
"効果_初期値-10",21,4,-12,-16,-20,-25,0,0,0,0,0,0
"効果_初期値-12",22,4,-15,-20,-25,-30,0,0,0,0,0,0
"効果_初期値-15",23,4,-20,-25,-30,-35,0,0,0,0,0,0
"効果_初期値-20",24,4,-25,-30,-35,-40,0,0,0,0,0,0
"効果_初期値-25",25,4,-30,-35,-40,-45,0,0,0,0,0,0
"効果_初期値-30",26,4,-35,-40,-45,-50,0,0,0,0,0,0
"効果_初期値-35",27,4,-40,-45,-50,-55,0,0,0,0,0,0
"効果_初期値-40",28,4,-45,-50,-55,-60,0,0,0,0,0,0
"SSR水着_パッシブ5",29,4,6,7,9,11,0,0,0,0,0,0
"SSR水着_パッシブ5_マイナス",30,4,-6,-7,-9,-11,0,0,0,0,0,0
"SSR水着_パッシブ10",31,4,11,12,13,15,0,0,0,0,0,0
"SSR水着_パッシブ10_マイナス",32,4,-11,-12,-13,-15,0,0,0,0,0,0
"SSR水着_Fスキル15",33,4,16,17,18,20,0,0,0,0,0,0
"SSR水着_Fスキル20",34,4,22,24,27,30,0,0,0,0,0,0
"SSR水着_パッシブ6",35,4,7,8,9,11,0,0,0,0,0,0
"SSR水着_パッシブ6_マイナス",36,4,-7,-8,-9,-11,0,0,0,0,0,0
"SR水着_パッシブ2",37,4,3,4,5,6,0,0,0,0,0,0
"SR水着_パッシブ2_マイナス",38,4,-3,-4,-5,-6,0,0,0,0,0,0
"SSR水着_パッシブ9",39,4,10,11,13,15,0,0,0,0,0,0
"SSR水着_パッシブ9_マイナス",40,4,-10,-11,-13,-15,0,0,0,0,0,0
"SSR水着_パッシブ4",41,4,5,6,8,10,0,0,0,0,0,0
"SSR水着_パッシブ4_マイナス",42,4,-5,-6,-8,-10,0,0,0,0,0,0
"SSR水着_パッシブ7",43,4,8,9,10,12,0,0,0,0,0,0
"SSR水着_パッシブ7_マイナス",44,4,-8,-9,-10,-12,0,0,0,0,0,0
"指示重視_パッシブ",45,4,11,12,13,15,0,0,0,0,0,0
"指示重視_パッシブ_マイナス",46,4,-11,-12,-13,-15,0,0,0,0,0,0
"効果_初期値24",47,4,28,32,36,40,0,0,0,0,0,0
"効果_初期値-24",48,4,-28,-32,-36,-40,0,0,0,0,0,0
"SSR水着_パッシブ_複合",49,4,3,4,5,7,0,0,0,0,0,0
"SSR水着_パッシブ_複合_マイナス",50,4,-3,-4,-5,-7,0,0,0,0,0,0
