"1","2","1","35012","10","81","3","15094","1","35075","3","5100","2","35072","10","35023","500000",,,,,,
"2","2","2","35012","10","81","3","15094","1","35075","3","5100","2","35072","10","35023","350000",,,,,,
"3","2","3","35012","10","81","3","15094","1","35075","3","5100","2","35072","10","35023","250000",,,,,,
"4","2","10","35012","10","81","3","15094","1","35075","2","5100","2","35072","10","35023","150000",,,,,,
"5","2","50","35012","8","81","2","15094","1","35075","1","5100","2","35072","9","35023","100000",,,,,,
"6","2","100","35012","7","81","2","15094","1","35075","1","5100","2","35072","8","35023","80000",,,,,,
"7","2","1000","35012","5","81","1","15094","1","35075","1","5100","2","35072","7","35023","60000",,,,,,
"8","2","2000","35012","4","81","1","15094","1","35074","1","5100","2","35072","6","35023","50000",,,,,,
"9","2","3000","35012","3","81","1","15094","1","35074","1","5100","2","35072","5","35023","40000",,,,,,
"10","2","4000","35012","2","81","1","15094","1","35074","1","5100","2","35072","4","35023","30000",,,,,,
"11","2","5000","35012","1","15094","1","35074","1","5100","2","35072","3","35023","20000",,,,,,,,
"12","2","10000","35012","1","35074","1","5100","1","35072","2","35023","10000",,,,,,,,,,
"13","2","100000","35073","1","35072","1","35023","2000",,,,,,,,,,,,,,
"14","3","1","35018","1","35017","5","20094","1","35036","3","35072","10","35023","500000",,,,,,,,
"15","3","2","35018","1","35017","5","20094","1","35036","3","35072","10","35023","350000",,,,,,,,
"16","3","3","35018","1","35017","5","20094","1","35036","3","35072","10","35023","250000",,,,,,,,
"17","3","10","35018","1","35017","4","20094","1","35036","2","35072","10","35023","150000",,,,,,,,
"18","3","50","35018","1","35017","4","20094","1","35036","1","35072","9","35023","100000",,,,,,,,
"19","3","100","35018","1","35017","4","20094","1","35036","1","35072","8","35023","80000",,,,,,,,
"20","3","1000","35018","1","20094","1","35036","1","35072","7","35023","60000",,,,,,,,,,
"21","3","2000","35017","6","20094","1","35035","1","35072","6","35023","50000",,,,,,,,,,
"22","3","3000","35017","5","35035","1","35072","5","35023","40000",,,,,,,,,,,,
"23","3","4000","35017","3","35035","1","35072","4","35023","30000",,,,,,,,,,,,
"24","3","5000","35017","2","35035","1","35072","3","35023","20000",,,,,,,,,,,,
"25","3","10000","35017","1","35035","1","35072","2","35023","10000",,,,,,,,,,,,
"26","3","100000","35034","1","35072","1","35023","2000",,,,,,,,,,,,,,
"27","5","1","35018","1","35017","4","35036","1","35082","1","35075","1","35023","500000",,,,,,,,
"28","5","2","35018","1","35017","4","35036","1","35082","1","35075","1","35023","350000",,,,,,,,
"29","5","3","35018","1","35017","4","35036","1","35082","1","35075","1","35023","250000",,,,,,,,
