"1","1","10000","35015","1","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"2","1","30000","35021","200","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"3","1","50000","35015","1","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"4","1","100000","35021","200","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"5","1","150000","35015","1","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"6","1","200000","35011","5","35021","200","35013","500","35023","1500",,,,,,,,,,,,,"0"
"7","1","250000","35015","1","35013","500","35023","1500",,,,,,,,,,,,,,,"0"
"8","1","300000","35011","5","35021","200","35013","500","35023","1500",,,,,,,,,,,,,"0"
"9","1","350000","35072","1","35013","500","35023","1500",,,,,,,,,,,,,,,"0"
"10","1","400000","35015","1","35013","500","35023","1500",,,,,,,,,,,,,,,"0"
"11","1","450000","35010","2","35021","200","35013","500","35023","1500",,,,,,,,,,,,,"0"
"12","1","500000","35015","1","35013","1000","35023","2000",,,,,,,,,,,,,,,"0"
"13","1","550000","35010","2","35021","200","35013","1000","35023","2000",,,,,,,,,,,,,"0"
"14","1","600000","35015","1","35013","1000","35023","2000",,,,,,,,,,,,,,,"0"
"15","1","700000","35009","1","35021","200","35013","1000","35023","2000",,,,,,,,,,,,,"0"
"16","1","800000","35015","1","35013","1000","35023","2000",,,,,,,,,,,,,,,"0"
"17","1","900000","35011","5","35021","200","35013","1000","35023","2000",,,,,,,,,,,,,"0"
"18","1","1000000","35015","1","35013","1000","35023","3000",,,,,,,,,,,,,,,"0"
"19","1","1100000","35011","5","35021","200","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"20","1","1200000","35015","1","35013","1000","35023","4000",,,,,,,,,,,,,,,"0"
"21","1","1300000","35010","2","35021","200","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"22","1","1400000","35015","1","35013","1000","35023","4000",,,,,,,,,,,,,,,"0"
"23","1","1500000","35010","2","35021","200","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"24","1","1600000","35015","1","35013","1000","35023","4000",,,,,,,,,,,,,,,"0"
"25","1","1700000","35009","1","35021","200","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"26","1","1800000","35015","1","35013","1000","35023","4000",,,,,,,,,,,,,,,"0"
"27","1","1900000","35011","5","35021","200","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"28","1","2000000","35015","1","35013","2000","35023","5000",,,,,,,,,,,,,,,"0"
"29","1","2100000","35011","5","35021","200","35013","2000","35023","5000",,,,,,,,,,,,,"0"
"30","1","2200000","35015","1","35013","2000","35023","5000",,,,,,,,,,,,,,,"0"
"31","1","2300000","35010","2","35021","200","35013","2000","35023","5000",,,,,,,,,,,,,"0"
"32","1","2400000","35015","1","35013","2000","35023","5000",,,,,,,,,,,,,,,"0"
"33","1","2500000","35010","2","35021","200","35013","2000","35023","5000",,,,,,,,,,,,,"0"
"34","1","2600000","35015","1","35013","2000","35023","5000",,,,,,,,,,,,,,,"0"
"35","1","2700000","35009","1","35021","200","35013","2000","35023","5000",,,,,,,,,,,,,"0"
"36","1","2800000","35015","1","35013","2000","35023","5000",,,,,,,,,,,,,,,"0"
"37","1","2900000","35016","1","35072","1","35013","2000","35023","5000",,,,,,,,,,,,,"0"
"38","1","3000000","35015","1","35021","300","35013","3000","35023","5000",,,,,,,,,,,,,"0"
"39","1","3500000","35016","1","35021","200","35013","3000","35023","6000",,,,,,,,,,,,,"0"
"40","1","4000000","35015","1","35021","300","35013","3000","35023","7000",,,,,,,,,,,,,"0"
"41","1","4500000","35016","1","35021","200","35013","3000","35023","8000",,,,,,,,,,,,,"0"
"42","1","5000000","35015","1","35021","400","35013","5000","35023","9000",,,,,,,,,,,,,"0"
"43","1","6000000","35016","1","35072","1","35013","5000","35023","9000",,,,,,,,,,,,,"0"
"44","1","7000000","35015","1","35021","400","35013","5000","35023","9000",,,,,,,,,,,,,"0"
"45","1","8000000","35016","1","35021","200","35013","5000","35023","9000",,,,,,,,,,,,,"0"
"46","1","9000000","35015","1","35021","400","35013","5000","35023","9000",,,,,,,,,,,,,"0"
"47","1","10000000","35016","1","35072","1","35021","400","35013","5000","35023","10000",,,,,,,,,,,"0"
"48","2","100000","35021","200","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"49","2","150000","35068","1","35015","1","35013","500","35023","1000",,,,,,,,,,,,,"0"
"50","2","200000","35021","300","35013","500","35023","1000",,,,,,,,,,,,,,,"0"
"51","2","250000","35015","1","35072","1","35013","500","35023","1000",,,,,,,,,,,,,"0"
"52","2","300000","35011","5","35021","400","35013","500","35023","1500",,,,,,,,,,,,,"0"
"53","2","350000","35040","1","35015","1","35013","500","35023","1500",,,,,,,,,,,,,"0"
"54","2","400000","35021","400","35013","500","35023","1500",,,,,,,,,,,,,,,"0"
"55","2","450000","35011","5","35068","1","35013","500","35023","1500",,,,,,,,,,,,,"0"
"56","2","500000","35015","1","35072","1","35013","500","35023","1500",,,,,,,,,,,,,"0"
"57","2","550000","35040","1","35074","1","35021","400","35013","500","35023","1500",,,,,,,,,,,"0"
"58","2","600000","5084","1","35010","2","35012","1","35013","1000","35023","2000",,,,,,,,,,,"0"
"59","2","700000","35010","2","35069","1","35021","400","35013","1000","35023","2000",,,,,,,,,,,"0"
"60","2","800000","35015","1","35072","1","35013","1000","35023","2000",,,,,,,,,,,,,"0"
"61","2","900000","35009","1","35068","1","35021","400","35013","1000","35023","2000",,,,,,,,,,,"0"
"62","2","1000000","5084","1","35011","5","35015","1","35013","1000","35023","2000",,,,,,,,,,,"0"
"63","2","1100000","35040","1","35072","1","35021","400","35013","1000","35023","2000",,,,,,,,,,,"0"
"64","2","1200000","35011","5","35015","1","35013","1000","35023","3000",,,,,,,,,,,,,"0"
"65","2","1300000","35011","5","35068","2","35021","400","35013","1000","35023","4000",,,,,,,,,,,"0"
"66","2","1400000","35015","1","35072","1","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"67","2","1500000","35010","2","35068","2","35021","400","35013","1000","35023","4000",,,,,,,,,,,"0"
"68","2","1600000","5084","1","35010","2","35015","1","35013","1000","35023","4000",,,,,,,,,,,"0"
"69","2","1700000","35040","1","35072","1","35021","400","35013","1000","35023","4000",,,,,,,,,,,"0"
"70","2","1800000","35069","1","35015","1","35013","1000","35023","4000",,,,,,,,,,,,,"0"
"71","2","1900000","35009","1","35074","1","35021","400","35013","1000","35023","4000",,,,,,,,,,,"0"
"72","2","2000000","35015","1","35072","1","35013","1000","35023","4000",,,,,,,,,,,,,"0"
