"0","262147","1",,,,,,,,,,,,,,
"1","262147",,,,,,,,"1","1","1","1","1","1","1",
"2","262147","1",,,,,,,,,,,,,,
"3","262147","1",,,"1",,,,,,,,,,,
"4","262147","1",,,"2",,,,,,,,,,,
"5","262147","1",,,"3",,,,,,,,,,,
"6","262147","1",,,"4",,,,,,,,,,,
"7","262147","1",,,"5",,,,,,,,,,,
"8","262147","1",,,"6",,,,,,,,,,,
"9","262147","1",,,"7",,,,,,,,,,,
"10","262147","1",,,"8","7",,,,,,,,,,
"11","262147","1",,,"8","7",,,,,,,,,,
"12","262147","1",,,"8","7",,,,,,,,,,
"13","262147","1",,,"8","7",,,,,,,,,,
"14","262147","1",,,"8","7",,,,,,,,,,
"15","262147","1",,,"8","7",,,,,,,,,,
"16","262147","1",,,"8","7",,,,,,,,,,
"17","262147","1",,,,,,,,,,,,,,
"18","262147","1",,,"9",,,,,,,,,,,
"19","262147","1",,,"10",,,,,,,,,,,
"20","262147","1",,,"11",,,,,,,,,,,
"21","262147","1",,,"12",,,,,,,,,,,
"22","262147","1",,,"13",,,,,,,,,,,
"23","262147","1",,,"14",,,,,,,,,,,
"24","262147","1",,,,,,,,,,,,,,
"25","262147","1",,,"16",,,,,,,,,,,
"26","262147","1",,,"17",,,,,,,,,,,
"27","262147","1",,,"18",,,,,,,,,,,
"28","262147","1",,,"19",,,,,,,,,,,
"29","262147","1",,,"20",,,,,,,,,,,
"30","262147","1",,,"21",,,,,,,,,,,
"31","262147","1",,,"22",,,,,,,,,,,
"32","262147","1",,,"23",,,,,,,,,,,
"33","262147","1",,,"24",,,,,,,,,,,
"34","262147","1",,,"25",,,,,,,,,,,
"35","262147","1",,,"26",,,,,,,,,,,
"36","262147","1",,,"27",,,,,,,,,,,
"37","262147","1",,,"28",,,,,,,,,,,
"38","262147","1",,,"29",,,,,,,,,,,
"39","262147","1",,,"30",,,,,,,,,,,
"40","262147","1",,,"31",,,,,,,,,,,
"41","262147","1",,,"32",,,,,,,,,,,
"42","262147","1",,,"33",,,,,,,,,,,
"43","262147","1",,,"34",,,,,,,,,,,
"44","262147","1",,,"35",,,,,,,,,,,
"45","262147","1",,,"36",,,,,,,,,,,
"46","262147","1",,,"37",,,,,,,,,,,
"47","262147","1",,,,,,,,,,,,,,
"48","262147","1",,,"39",,,,,,,,,,,
"49","262147","1",,,"40",,,,,,,,,,,
"50","262147","1",,,"41",,,,,,,,,,,
"51","262147","1",,,"42",,,,,,,,,,,
"52","262147","1",,,"43",,,,,,,,,,,
