"1","1",,"1","60","16"
"2","1",,"1","26","25"
"3","1",,"1","14","34"
"4","1",,"1","60","17"
"5","1",,"1","26","26"
"6","1",,"1","14","35"
"7","1",,"1","60","18"
"8","1",,"1","26","27"
"9","1",,"1","14","36"
"10","2",,"1","592","16"
"11","2",,"1","90","19"
"12","2",,"1","14","25"
"13","2",,"1","9","28"
"14","2",,"1","10","34"
"15","2",,"1","3","37"
"16","2",,"1","3","43"
"17","2",,"1","9","46"
"18","2",,"1","592","17"
"19","2",,"1","90","20"
"20","2",,"1","14","26"
"21","2",,"1","9","29"
"22","2",,"1","10","35"
"23","2",,"1","3","38"
"24","2",,"1","3","44"
"25","2",,"1","9","47"
"26","2",,"1","592","18"
"27","2",,"1","90","21"
"28","2",,"1","14","27"
"29","2",,"1","9","30"
"30","2",,"1","10","36"
"31","2",,"1","3","39"
"32","2",,"1","3","45"
"33","2",,"1","9","48"
"34","3",,"1","4929","16"
"35","3",,"1","900","19"
"36","3",,"1","270","22"
"37","3",,"1","1300","25"
"38","3",,"1","300","28"
"39","3",,"1","60","31"
"40","3",,"1","900","37"
"41","3",,"1","180","40"
"42","3",,"1","940","43"
"43","3",,"1","200","46"
"44","3",,"1","21","46"
"45","3",,"1","4929","17"
"46","3",,"1","900","20"
"47","3",,"1","270","23"
"48","3",,"1","1300","26"
"49","3",,"1","300","29"
"50","3",,"1","60","32"
"51","3",,"1","900","38"
"52","3",,"1","180","41"
"53","3",,"1","940","44"
"54","3",,"1","200","47"
"55","3",,"1","21","47"
"56","3",,"1","4929","18"
"57","3",,"1","900","21"
"58","3",,"1","270","24"
"59","3",,"1","1300","27"
"60","3",,"1","300","30"
"61","3",,"1","60","33"
"62","3",,"1","900","39"
"63","3",,"1","180","42"
"64","3",,"1","940","45"
"65","3",,"1","200","48"
"66","3",,"1","21","48"
"67","4",,"1","60","16"
"68","4",,"1","26","25"
"69","4",,"1","14","34"
"70","5",,"1","592","16"
"71","5",,"1","90","19"
"72","5",,"1","14","25"
"73","5",,"1","9","28"
"74","5",,"1","10","34"
"75","5",,"1","3","37"
"76","5",,"1","3","43"
"77","5",,"1","9","46"
"78","6",,"1","4929","16"
"79","6",,"1","900","19"
"80","6",,"1","270","22"
"81","6",,"1","1300","25"
"82","6",,"1","300","28"
"83","6",,"1","60","31"
"84","6",,"1","900","37"
"85","6",,"1","180","40"
"86","6",,"1","940","43"
"87","6",,"1","200","46"
"88","6",,"1","21","46"
"89","7",,"1","60","17"
"90","7",,"1","26","26"
"91","7",,"1","14","35"
"92","8",,"1","592","17"
"93","8",,"1","90","20"
"94","8",,"1","14","26"
"95","8",,"1","9","29"
"96","8",,"1","10","35"
"97","8",,"1","3","38"
"98","8",,"1","3","44"
"99","8",,"1","9","47"
"100","9",,"1","4929","17"
"101","9",,"1","900","20"
"102","9",,"1","270","23"
"103","9",,"1","1300","26"
"104","9",,"1","300","29"
"105","9",,"1","60","32"
"106","9",,"1","900","38"
"107","9",,"1","180","41"
"108","9",,"1","940","44"
"109","9",,"1","200","47"
"110","9",,"1","21","47"
"111","10",,"1","60","18"
"112","10",,"1","26","27"
"113","10",,"1","14","36"
"114","11",,"1","592","18"
"115","11",,"1","90","21"
"116","11",,"1","14","27"
"117","11",,"1","9","30"
"118","11",,"1","10","36"
"119","11",,"1","3","39"
"120","11",,"1","3","45"
"121","11",,"1","9","48"
"122","12",,"1","4929","18"
"123","12",,"1","900","21"
"124","12",,"1","270","24"
"125","12",,"1","1300","27"
"126","12",,"1","300","30"
"127","12",,"1","60","33"
"128","12",,"1","900","39"
"129","12",,"1","180","42"
"130","12",,"1","940","45"
"131","12",,"1","200","48"
"132","12",,"1","21","48"
"136","16","35031","1","1",
"137","17","35077","1","1",
"138","18","35067","1","1",
"139","19","35032","1","1",
"140","20","35078","1","1",
"141","21","35068","1","1",
"142","22","35033","1","1",
"143","23","35079","1","1",
"144","24","35069","1","1",
"145","25","35034","1","1",
"146","26","35080","1","1",
"147","27","35073","1","1",
"148","28","35035","1","1",
"149","29","35081","1","1",
"150","30","35074","1","1",
"151","31","35036","1","1",
"152","32","35082","1","1",
"153","33","35075","1","1",
"154","34","35642","1","1",
"155","35","35656","1","1",
"156","36","35649","1","1",
"157","37","35643","1","1",
"158","38","35657","1","1",
"159","39","35650","1","1",
"160","40","35644","1","1",
"161","41","35658","1","1",
"162","42","35651","1","1",
"163","43","35645","1","1",
"164","44","35659","1","1",
"165","45","35652","1","1",
"166","46","35646","1","1",
"167","47","35660","1","1",
"168","48","35653","1","1",
"169","49","35647","1","1",
"170","50","35661","1","1",
"171","51","35654","1","1",
