"2","2","900","4","1050","5","1040","4","20","3","10","1","489","182","362","2"
"3","2","850","4","1300","5","850","4","10","3","10","1","490","182","366","2"
"4","2","800","4","1100","5","1090","4","20","3","10","1","491","182","369","2"
"5","2","800","4","1200","5","1000","4","10","3","10","1","488","182","373","2"
"6","2","1050","4","1150","5","800","4","10","3","10","1","486","182","378","2"
"7","2","1000","4","1150","5","850","4","10","3","10","1","487","182","381","2"
"8","2","900","4","1300","5","800","4","10","3","10","1","485","182","385","2"
"9","2","800","4","1290","5","900","4","20","3","10","1","484","182","390","2"
"10","2","850","4","1150","5","1000","4","10","3","10","1","326","182","395","2"
"11","2","1040","4","1050","5","900","4","20","3","10","1","438","182","449","2"
"12","2","830","4","1340","5","820","4","20","3","10","1","516","182","545","2"
"13","2","1040","4","980","5","970","4","20","3","10","1","559","182","553","2"
"14","2","900","4","1000","5","1090","4","10","3","10","1","717","182","555","2"
"15","2","800","4","1310","5","870","4","20","3","10","1","564","182","727","2"
"16","2","1060","4","1020","5","900","4","20","3","10","1","787","182","747","2"
"17","2","1080","4","1100","5","820","4","10","3","10","1","1103","182","1038","2"
"18","2","840","4","1030","5","1110","4","20","3","10","1","1476","182","1238","2"
"19","2","800","4","1400","5","800","4","20","3","10","1","1408","182","1407","2"
"20","2","1070","4","1060","5","880","4","10","3","10","1","1867","182","1664","2"
"21","2","850","4","1050","5","1100","4","10","3","10","1","2403","182","2043","2"
"22","2","800","4","1250","5","950","4","20","3","10","1","2044","182","2282","2"
"23","2","1050","4","1030","5","930","4","20","3","10","1","2705","182","2700","2"
"24","2","920","4","1040","5","1060","4","10","3","10","1","2992","182","2993","2"
"25","2","940","4","1240","5","840","4","10","3","10","1","3243","182","3244","2"
"26","2","1120","4","1100","5","800","4","20","3","10","1","3815","182","3727","2"
"27","2","890","4","1020","5","1120","4","10","3","10","1","3458","182","3459","2"
"28","2","1100","4","1040","5","880","4","20","3","10","1","4033","182","4034","2"
"29","2","1100","4","1040","5","880","4","20","3","10","1","4507","182","4506","2"
