"10001001","1","1","393246","1","0","2","1","1","0","0","0","25","1","1","1","10002","20002","2"
"10001002","1","2","393247","1","0","2","1","1","10","20","0","26","1","1","1","10003","20003","3"
"10002001","2","1","393249","1","0","2","1","0","0","0","0","2","2","1","2","10004","20004","4"
"10003001","3","1","393250","1","0","2","3","3","5","10","0","28","1","1","2","10005","20005","5"
"10003002","3","2","393251","1","0","2","3","3","5","10","0","29","1","1","3","10006","20006","6"
"10003003","3","3","393252","1","0","2","3","5","5","12","0","30","1","1","4","10007","20007","7"
"10003004","3","4","393253","1","0","2","3","6","5","12","0","31","1","1","5","10008","20008","8"
"10004001","4","1","393254","1","0","2","5","7","0","20","1000153","18","1","1","6","10009","20009","9"
"10005001","5","1","393255","1","0","3","3","7","10","12","0","1","1","1","6","10010","20010","10"
"10005002","5","2","393256","1","0","3","3","8","10","12","0","32","1","1","6","10011","20011","11"
"10005003","5","3","393257","1","0","3","4","10","10","14","0","33","1","1","7","10012","20012","12"
"10005004","5","4","393258","1","0","3","4","11","10","14","0","34","1","1","7","10013","20013","13"
"10006001","6","1","393259","1","0","3","3","7","10","12","0","1","1","1","6","10014","20014","14"
"10006002","6","2","393260","1","0","3","3","8","10","12","0","35","1","1","6","10015","20015","15"
"10006003","6","3","393261","1","0","3","4","10","10","14","0","36","1","1","7","10016","20016","16"
"10006004","6","4","393262","1","0","3","4","11","10","14","0","37","1","1","7","10017","20017","17"
"10007001","7","1","393263","2","0","3","8","12","0","30","1000154","19","1","1","8","10018","20018","18"
"10008001","8","1","393264","2","0","4","4","13","20","16","0","1","1","1","9","10019","20019","19"
"10008002","8","2","393265","2","0","4","4","14","20","16","0","38","1","1","10","10020","20020","20"
"10008003","8","3","393266","2","0","4","5","16","25","18","0","39","1","1","11","10021","20021","21"
"10008004","8","4","393267","2","0","4","5","17","25","18","0","40","1","1","12","10022","20022","22"
"10009001","9","1","393268","2","0","4","4","13","20","16","0","1","1","1","9","10023","20023","23"
"10009002","9","2","393269","2","0","4","4","14","20","16","0","41","1","1","10","10024","20024","24"
"10009003","9","3","393270","2","0","4","5","16","25","18","0","42","1","1","11","10025","20025","25"
"10009004","9","4","393271","2","0","4","5","17","25","18","0","43","1","1","12","10026","20026","26"
"10010001","10","1","393272","2","0","4","4","13","20","16","0","1","1","1","14","10027","20027","27"
"10010002","10","2","393273","2","0","4","4","14","20","16","0","44","1","1","15","10028","20028","28"
"10010003","10","3","393274","2","0","4","5","16","25","18","0","45","1","1","16","10029","20029","29"
"10010004","10","4","393275","2","0","4","5","17","25","18","0","46","1","1","17","10030","20030","30"
"10011001","11","1","393276","2","0","4","10","20","0","44","1000155","20","1","1","18","10031","20031","31"
"10012001","12","1","393277","2","0","5","5","19","20","24","0","1","1","1","18","10032","20032","32"
"10012002","12","2","393278","2","0","5","5","20","30","24","0","47","1","1","19","10033","20033","33"
"10012003","12","3","393279","2","0","5","5","22","50","24","0","48","1","1","20","10034","20034","34"
"10012004","12","4","393280","2","0","5","6","24","100","26","0","49","1","1","21","10035","20035","35"
"10013001","13","1","393281","2","0","5","5","19","20","24","0","1","1","1","18","10036","20036","36"
"10013002","13","2","393282","2","0","5","5","20","30","24","0","50","1","1","19","10037","20037","37"
"10013003","13","3","393283","2","0","5","5","22","50","24","0","51","1","1","20","10038","20038","38"
