"効果成長なし",1,0,0,0,0,0,0,0,0,0,0,0
"SR成長：効果+2",2,2,1,2,0,0,0,0,0,0,0,0
"SR成長：効果-2",3,2,-1,-2,0,0,0,0,0,0,0,0
"SR成長：効果+3",4,2,1,3,0,0,0,0,0,0,0,0
"SR成長：効果-3",5,2,-1,-3,0,0,0,0,0,0,0,0
"SR成長：効果+7A",6,4,1,2,4,7,0,0,0,0,0,0
"SR成長：効果-7Ａ",7,4,-1,-2,-4,-7,0,0,0,0,0,0
"SR成長：効果+7C",8,5,1,2,3,4,5,0,0,0,0,0
"SR成長：効果+8",9,5,1,2,4,6,8,0,0,0,0,0
"SR成長：効果-8",10,5,-1,-2,-4,-6,-8,0,0,0,0,0
"SR成長：効果+9",11,5,1,2,4,7,10,0,0,0,0,0
"SR成長：効果-9",12,5,-1,-2,-4,-7,-10,0,0,0,0,0
"SSR成長：効果+14",13,7,1,2,4,6,8,10,13,0,0,0
"SSR成長：効果-14",14,7,-1,-2,-4,-6,-8,-10,-13,0,0,0
"SSR成長：効果+14A",15,7,1,2,3,4,6,9,12,0,0,0
"SSR成長：効果-14A",16,7,-1,-2,-3,-4,-6,-9,-12,0,0,0
"SSR成長：効果+15",17,7,1,2,4,6,8,11,14,0,0,0
"SSR成長：効果-15",18,7,-1,-2,-4,-6,-8,-11,-14,0,0,0
"SSR成長：効果+16",19,7,2,4,6,8,10,13,16,0,0,0
"SSR成長：効果-16",20,7,-2,-4,-6,-8,-10,-13,-16,0,0,0
"SR成長：効果-7C",21,5,-1,-2,-3,-4,-5,0,0,0,0,0
"SR成長：効果+1C",22,1,1,0,0,0,0,0,0,0,0,0
"SR成長：効果-1C",23,1,-1,0,0,0,0,0,0,0,0,0
"SSR成長：効果+18",24,7,2,4,6,8,10,14,18,0,0,0
"SSR成長：効果-18",25,7,-2,-4,-6,-8,-10,-14,-18,0,0,0
"SSR成長：効果+10",26,7,1,2,3,4,6,8,10,0,0,0
"SSR成長：効果-10",27,7,-1,-2,-3,-4,-6,-8,-10,0,0,0
