"1","10","1","198660","100","1","10","5","12","5","13","5","14","6","15","10","15","5","10","13","0"
"2","1","2","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"3","2","3","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"4","3","2","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"5","4","3","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"6","5","2","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"7","6","3","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"8","7","2","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"9","8","3","198660","100","1","2","1","3","1","3","1","3","1","3","1","3","1","2","3","0"
"10","11","6","198768","3","4","4","4","4","2","2","4","4","4","4","4","4","0","3","5","0"
"11","11","6","198768","28","1","1","4","4","2","2","4","4","2","2","4","4","0","3","5","0"
"12","11","6","198768","18","1","1","1","1","2","2","4","4","4","4","4","4","0","3","5","0"
"13","11","6","198768","17","1","1","2","2","4","4","2","2","4","4","4","4","0","3","5","0"
"14","11","6","198768","17","1","1","2","2","4","4","2","2","4","4","4","4","0","3","5","0"
"15","11","6","198768","17","2","2","1","1","1","1","2","2","4","4","4","4","0","3","5","0"
"16","12","4","198766","3","4","4","4","4","2","2","4","4","4","4","4","4","0","2","3","0"
"17","12","4","198766","28","1","1","4","4","4","4","4","4","2","2","4","4","0","2","3","0"
"18","12","4","198766","18","1","1","2","2","2","2","4","4","4","4","4","4","0","2","3","0"
"19","12","4","198766","17","1","1","2","2","2","2","2","2","4","4","4","4","0","2","3","0"
"20","12","4","198766","17","1","1","1","1","4","4","2","2","4","4","4","4","0","2","3","0"
"21","12","4","198766","17","2","2","1","1","1","1","2","2","4","4","4","4","0","2","3","0"
"22","13","5","198767","3","4","4","4","4","2","2","4","4","4","4","4","4","0","3","10","0"
"23","13","5","198767","28","1","1","4","4","4","4","4","4","2","2","4","4","0","3","10","0"
"24","13","5","198767","18","1","1","2","2","2","2","4","4","4","4","4","4","0","3","10","0"
"25","13","5","198767","17","1","1","2","2","2","2","2","2","4","4","4","4","0","3","10","0"
"26","13","5","198767","17","1","1","1","1","4","4","2","2","4","4","4","4","0","3","10","0"
"27","13","5","198767","17","2","2","1","1","1","1","2","2","4","4","4","4","0","3","10","0"
"28","14","6","198768","1","4","4","5","5","5","5","5","5","4","4","5","5","0","3","5","0"
"29","14","6","198768","3","4","4","4","4","2","2","4","4","5","5","5","5","0","3","5","0"
"30","14","6","198768","28","1","1","4","4","2","2","4","4","2","2","5","5","0","3","5","0"
"31","14","6","198768","17","1","1","1","1","2","2","4","4","4","4","5","5","0","3","5","0"
"32","14","6","198768","17","1","1","2","2","4","4","2","2","4","4","5","5","0","3","5","0"
