"1","2","1","360","489","1","0","1","0","0","1","0","0","1","0","0","1","510","650","70","700"
"2","5","1","374","488","1","0","1","0","0","1","0","0","1","0","0","1","410","610","60","850"
"3","4","1","369","491","1","0","1","0","0","1","0","0","1","0","0","1","460","650","70","750"
"4","10","1","395","326","1","0","1","0","0","1","0","0","1","0","0","1","460","610","60","800"
"5","3","1","366","490","1","0","1","0","0","1","0","0","1","0","0","1","460","460","60","950"
"6","8","1","385","485","1","0","1","0","0","1","0","0","1","0","0","1","510","410","60","950"
"7","9","1","390","484","1","0","1","0","0","1","0","0","1","0","0","1","410","510","70","940"
"8","6","1","378","486","1","0","1","0","0","1","0","0","1","0","0","1","660","410","60","800"
"9","7","1","381","487","1","0","1","0","0","1","0","0","1","0","0","1","610","460","60","800"
"10","11","1","449","438","1","0","1","0","0","1","0","0","1","0","0","1","1050","910","70","1100"
"11","2","2","360","481","1","0","1","0","0","1","0","0","1","0","0","1","1039","1389","70","1219"
"12","5","2","374","479","1","0","1","0","0","1","0","0","1","0","0","1","1019","1319","60","1319"
"13","4","2","369","401","1","0","1","0","0","1","0","0","1","0","0","1","869","1459","70","1319"
"14","10","2","395","479","1","0","1","0","0","1","0","0","1","0","0","1","1069","1319","60","1269"
"15","3","2","366","483","1","0","1","0","0","1","0","0","1","0","0","1","949","989","60","1719"
"16","8","2","385","478","1","0","1","0","0","1","0","0","1","0","0","1","1019","969","60","1669"
"17","9","2","390","478","1","0","1","0","0","1","0","0","1","0","0","1","919","1069","70","1659"
"18","6","2","378","482","1","0","1","0","0","1","0","0","1","0","0","1","1319","1019","60","1319"
"19","7","2","381","480","1","0","1","0","0","1","0","0","1","0","0","1","1319","1019","60","1319"
"20","11","2","449","480","1","0","1","0","0","1","0","0","1","0","0","1","1359","1069","70","1219"
"21","2","6","360","478","3","0","1","0","0","1","0","0","1","0","0","1","1388","1578","70","1788"
"22","5","6","374","478","3","0","1","0","0","1","0","0","1","0","0","1","1288","1538","60","1938"
