"1","655360","1","0","0","0","10","1","1","2","3","1","5","0","1",,"5","655381"
"2","655361","1","0","0","0","30","2","1","10","3","1","5","0","1","2","15","655382"
"3","655362","1","0","0","0","60","3","1","11","3","1","5","0","1","3","30","655383"
"4","655363","1","0","0","0","180","4","1","12","3","1","5","0","1","4","90","655384"
"5","655364","1","0","0","0","360","5","1","13","3","2","5","0","1","5","180","655385"
"6","655365","1","0","0","0","600","6","1","14","3","2","5","0","1","6","300","655386"
"7","655366","1","0","0","0","1200","7","1","15","3","3","5","0","1","7","600","655387"
"8","655367","0","1","0","0","10","8","4","5","6","4","5","0","1",,"5","655388"
"9","655368","0","1","0","0","30","9","4","16","6","4","5","0","1","2","15","655389"
"10","655369","0","1","0","0","60","10","4","17","6","4","5","0","1","3","30","655390"
"11","655370","0","1","0","0","180","11","4","18","6","4","5","0","1","4","90","655391"
"12","655371","0","1","0","0","360","12","4","19","6","5","5","0","1","5","180","655392"
"13","655372","0","1","0","0","600","13","4","20","6","5","5","0","1","6","300","655393"
"14","655373","0","1","0","0","1200","14","4","21","6","6","5","0","1","7","600","655394"
"15","655374","0","0","1","0","10","15","7","8","9","7","5","0","1",,"5","655395"
"16","655375","0","0","1","0","30","16","7","22","9","7","5","0","1","2","15","655396"
"17","655376","0","0","1","0","60","17","7","23","9","7","5","0","1","3","30","655397"
"18","655377","0","0","1","0","180","18","7","24","9","7","5","0","1","4","90","655398"
"19","655378","0","0","1","0","360","19","7","25","9","8","5","0","1","5","180","655399"
"20","655379","0","0","1","0","600","20","7","26","9","8","5","0","1","6","300","655400"
"21","655380","0","0","1","0","1200","21","7","27","9","9","5","0","1","7","600","655401"
