"1","2","2019-11-23 14:30:00","2"
"2","2","2019-12-23 12:00:00","3"
"3","1","2020-01-29 13:00:00","4"
"4","2","2020-02-27 13:00:00","5"
"5","2","2020-03-30 15:00:00","6"
"6","1","2020-04-30 11:30:00","7"
"7","2","2020-04-30 11:30:00","7"
"8","1","2020-05-28 13:00:00","8"
"9","2","2020-05-28 13:00:00","8"
"10","1","2020-06-24 13:00:00","9"
"11","2","2020-06-24 13:00:00","9"
"12","1","2020-07-30 13:00:00","10"
"13","2","2020-07-30 13:00:00","10"
"14","1","2020-08-27 13:00:00","11"
"15","2","2020-08-27 13:00:00","11"
"16","1","2020-09-29 13:00:00","12"
"17","2","2020-09-29 13:00:00","12"
"18","1","2020-10-29 13:00:00","13"
"19","2","2020-10-29 13:00:00","13"
"20","1","2020-11-30 13:00:00","14"
"21","2","2020-11-30 13:00:00","14"
"22","1","2020-12-28 13:00:00","15"
"23","2","2020-12-28 13:00:00","15"
"24","1","2021-01-28 13:00:00","16"
"25","2","2021-01-28 13:00:00","16"
"26","1","2021-02-25 13:00:00","17"
"27","2","2021-02-25 13:00:00","17"
"28","1","2021-03-25 13:00:00","18"
"29","2","2021-03-25 13:00:00","18"
"30","1","2021-04-28 13:00:00","19"
"31","2","2021-04-28 13:00:00","19"
"32","1","2021-05-27 13:00:00","20"
"33","2","2021-05-27 13:00:00","20"
"34","1","2021-06-24 13:00:00","21"
"35","2","2021-06-24 13:00:00","21"
"36","1","2021-07-28 13:00:00","22"
"37","2","2021-07-28 13:00:00","22"
"38","1","2021-08-27 13:00:00","23"
"39","2","2021-08-27 13:00:00","23"
"40","1","2021-09-24 13:00:00","24"
"41","2","2021-09-24 13:00:00","24"
"42","1","2021-10-29 13:00:00","25"
"43","2","2021-10-29 13:00:00","25"
"44","1","2021-11-25 13:00:00","26"
"45","2","2021-11-25 13:00:00","26"
"46","1","2021-12-29 13:00:00","27"
"47","2","2021-12-29 13:00:00","27"
"48","1","2022-01-28 11:00:00","28"
"49","2","2022-01-28 11:00:00","28"
"50","1","2022-02-24 13:00:00","29"
"51","2","2022-02-24 13:00:00","29"
"52","1","2022-03-29 13:00:00","30"
"53","2","2022-03-29 13:00:00","30"
"54","1","2022-04-28 13:00:00","31"
"55","2","2022-04-28 13:00:00","31"
"56","1","2022-05-24 13:00:00","32"
"57","2","2022-05-24 13:00:00","32"
"58","1","2022-06-29 12:00:00","33"
"59","2","2022-06-29 12:00:00","33"
"60","1","2022-07-28 12:00:00","34"
"61","2","2022-07-28 12:00:00","34"
"62","1","2022-08-24 14:00:00","35"
"63","2","2022-08-24 14:00:00","35"
"64","1","2022-09-29 12:00:00","36"
"65","2","2022-09-29 12:00:00","36"
"66","1","2022-10-27 12:00:00","37"
"67","2","2022-10-27 12:00:00","37"
"68","1","2022-11-30 12:00:00","38"
"69","2","2022-11-30 12:00:00","38"
"70","1","2022-12-28 12:00:00","39"
"71","2","2022-12-28 12:00:00","39"
"72","1","2023-01-26 12:00:00","40"
"73","2","2023-01-26 12:00:00","40"
"74","1","2023-03-02 12:00:00","41"
"75","2","2023-03-02 12:00:00","41"
