"1","2","30311","0","100","1","30311","0","0"
"2","3","30312","0","100","1","30312","0","0"
"3","4","30313","0","100","1","30313","0","0"
"4","5","30314","0","100","1","30314","0","0"
"5","6","30315","0","100","1","30315","0","0"
"6","7","30316","0","100","1","30316","0","0"
"7","8","30317","0","100","1","30317","0","0"
"8","9","30318","0","100","1","30318","0","0"
"9","10","30319","0","100","1","30319","0","0"
"10","11","30320","0","100","1","30320","0","0"
"11","12","30321","0","100","1","30321","0","0"
"12","13","30322","0","100","1","30322","0","0"
"13","14","30323","0","100","1","30323","0","0"
"14","15","30324","0","100","1","30324","0","0"
"15","16","30325","0","100","1","30325","0","0"
"16","17","30326","0","100","1","30326","0","0"
"17","2","30327","1","20","1","30327","0","0"
"18","3","30328","1","20","1","30328","0","0"
"19","4","30329","1","20","1","30329","0","0"
"20","5","30330","1","20","1","30330","0","0"
"21","6","30331","1","20","1","30331","0","0"
"22","7","30332","1","20","1","30332","0","0"
"23","8","30333","1","20","1","30333","0","0"
"24","9","30334","1","20","1","30334","0","0"
"25","10","30335","1","20","1","30335","0","0"
"26","11","30336","1","20","1","30336","0","0"
"27","12","30337","1","20","1","30337","0","0"
"28","13","30338","1","20","1","30338","0","0"
"29","14","30339","1","20","1","30339","0","0"
"30","15","30340","1","20","1","30340","0","0"
"31","16","30341","1","20","1","30341","0","0"
"32","17","30342","1","20","1","30342","0","0"
"33","2","30510","1","25","2","30510","500","1"
"34","3","30511","1","25","2","30511","500","1"
"35","4","30512","1","25","2","30512","500","1"
"36","5","30513","1","25","2","30513","500","1"
"37","6","30514","1","25","2","30514","500","1"
"38","7","30515","1","25","2","30515","500","1"
"39","8","30516","1","25","2","30516","500","1"
"40","9","30517","1","25","2","30517","500","1"
"41","10","30518","1","25","2","30518","500","1"
"42","11","30519","1","25","2","30519","500","1"
"43","12","30520","1","25","2","30520","500","1"
"44","13","30521","1","25","2","30521","500","1"
"45","14","30522","1","25","2","30522","500","1"
"46","15","30523","1","25","2","30523","500","1"
"47","16","30524","1","25","2","30524","500","1"
"48","17","30525","1","25","2","30525","500","1"
"49","2","30526","1","30","2","30526","1000","2"
"50","3","30527","1","30","2","30527","1000","2"
"51","4","30528","1","30","2","30528","1000","2"
"52","5","30529","1","30","2","30529","1000","2"
"53","6","30530","1","30","2","30530","1000","2"
"54","7","30531","1","30","2","30531","1000","2"
"55","8","30532","1","30","2","30532","1000","2"
"56","9","30533","1","30","2","30533","1000","2"
"57","10","30534","1","30","2","30534","1000","2"
"58","11","30535","1","30","2","30535","1000","2"
"59","12","30536","1","30","2","30536","1000","2"
"60","13","30537","1","30","2","30537","1000","2"
"61","14","30538","1","30","2","30538","1000","2"
"62","15","30539","1","30","2","30539","1000","2"
"63","16","30540","1","30","2","30540","1000","2"
"64","17","30541","1","30","2","30541","1000","2"
"65","2","30542","1","35","3","30542","9999","3"
"66","3","30543","1","35","3","30543","9999","3"
"67","4","30544","1","35","3","30544","9999","3"
"68","5","30545","1","35","3","30545","9999","3"
"69","6","30546","1","35","3","30546","9999","3"
"70","7","30547","1","35","3","30547","9999","3"
"71","8","30548","1","35","3","30548","9999","3"
"72","9","30549","1","35","3","30549","9999","3"
"73","10","30550","1","35","3","30550","9999","3"
"74","11","30551","1","35","3","30551","9999","3"
"75","12","30552","1","35","3","30552","9999","3"
"76","13","30553","1","35","3","30553","9999","3"
"77","14","30554","1","35","3","30554","9999","3"
"78","15","30555","1","35","3","30555","9999","3"
"79","16","30556","1","35","3","30556","9999","3"
"80","17","30557","1","35","3","30557","9999","3"
"81","2","30558","1","40","3","30558","99999","4"
"82","3","30559","1","40","3","30559","99999","4"
"83","4","30560","1","40","3","30560","99999","4"
"84","5","30561","1","40","3","30561","99999","4"
"85","6","30562","1","40","3","30562","99999","4"
"86","7","30563","1","40","3","30563","99999","4"
"87","8","30564","1","40","3","30564","99999","4"
"88","9","30565","1","40","3","30565","99999","4"
"89","10","30566","1","40","3","30566","99999","4"
"90","11","30567","1","40","3","30567","99999","4"
"91","12","30568","1","40","3","30568","99999","4"
"92","13","30569","1","40","3","30569","99999","4"
"93","14","30570","1","40","3","30570","99999","4"
"94","15","30571","1","40","3","30571","99999","4"
"95","16","30572","1","40","3","30572","99999","4"
"96","17","30573","1","40","3","30573","99999","4"
"97","18","30735","0","100","1","30735","0","0"
"98","18","30736","1","20","1","30736","0","0"
"99","18","30737","1","25","2","30737","500","1"
"100","18","30738","1","30","2","30738","1000","2"
"101","18","30739","1","35","3","30739","9999","3"
"102","18","30740","1","40","3","30740","99999","4"
"103","19","30882","0","100","1","30882","0","0"
"104","19","30883","1","20","1","30883","0","0"
"105","19","30884","1","25","2","30884","500","1"
"106","19","30885","1","30","2","30885","1000","2"
"107","19","30886","1","35","3","30886","9999","3"
"108","19","30887","1","40","3","30887","99999","4"
"109","20","31032","0","100","1","31032","0","0"
"110","20","31033","1","20","1","31033","0","0"
"111","20","31034","1","25","2","31034","500","1"
"112","20","31035","1","30","2","31035","1000","2"
"113","20","31036","1","35","3","31036","9999","3"
"114","20","31037","1","40","3","31037","99999","4"
"115","21","31129","0","100","1","31129","0","0"
"116","21","31130","1","20","1","31130","0","0"
"117","21","31131","1","25","2","31131","500","1"
"118","21","31132","1","30","2","31132","1000","2"
"119","21","31133","1","35","3","31133","9999","3"
"120","21","31134","1","40","3","31134","99999","4"
"121","22","31400","0","100","1","31400","0","0"
"122","22","31401","1","20","1","31401","0","0"
"123","22","31402","1","25","2","31402","500","1"
"124","22","31403","1","30","2","31403","1000","2"
"125","22","31404","1","35","3","31404","9999","3"
"126","22","31405","1","40","3","31405","99999","4"
"127","23","31524","0","100","1","31524","0","0"
"128","23","31525","1","20","1","31525","0","0"
"129","23","31526","1","25","2","31526","500","1"
"130","23","31527","1","30","2","31527","1000","2"
"131","23","31528","1","35","3","31528","9999","3"
"132","23","31529","1","40","3","31529","99999","4"
"133","24","31628","0","100","1","31628","0","0"
"134","24","31629","1","20","1","31629","0","0"
"135","24","31630","1","25","2","31630","500","1"
"136","24","31631","1","30","2","31631","1000","2"
"137","24","31632","1","35","3","31632","9999","3"
"138","24","31633","1","40","3","31633","99999","4"
"139","25","31755","0","100","1","31755","0","0"
"140","25","31756","1","20","1","31756","0","0"
"141","25","31757","1","25","2","31757","500","1"
"142","25","31758","1","30","2","31758","1000","2"
"143","25","31759","1","35","3","31759","9999","3"
"144","25","31760","1","40","3","31760","99999","4"
"145","26","31851","0","100","1","31851","0","0"
"146","26","31852","1","20","1","31852","0","0"
"147","26","31853","1","25","2","31853","500","1"
"148","26","31854","1","30","2","31854","1000","2"
"149","26","31855","1","35","3","31855","9999","3"
"150","26","31856","1","40","3","31856","99999","4"
"151","27","32003","0","100","1","32003","0","0"
"152","27","32004","1","20","1","32004","0","0"
"153","27","32005","1","25","2","32005","500","1"
"154","27","32006","1","30","2","32006","1000","2"
"155","27","32007","1","35","3","32007","9999","3"
"156","27","32008","1","40","3","32008","99999","4"
"157","28","32188","0","100","1","32188","0","0"
"158","28","32199","1","20","1","32199","0","0"
"159","28","32200","1","25","2","32200","500","1"
"160","28","32201","1","30","2","32201","1000","2"
"161","28","32202","1","35","3","32202","9999","3"
"162","28","32203","1","40","3","32203","99999","4"
"163","29","32412","0","100","1","32412","0","0"
"164","29","32394","1","20","1","32394","0","0"
"165","29","32395","1","25","2","32395","500","1"
"166","29","32396","1","30","2","32396","1000","2"
"167","29","32397","1","35","3","32397","9999","3"
"168","29","32398","1","40","3","32398","99999","4"
