"1","1","0",,,,,,,"0",,,
"2","2","0",,,,,,,"0",,,
"3","3","0",,,,,,,"0",,,
"4","4","0",,,,,,,"0",,,
"5","5","0",,,,,,,"0","6","1",
"6","6","0",,,,"500",,,"0",,,
"7","7","0",,,,,,"200","0",,,
"8","8","0",,,,,"500",,"0",,,
"9","9","35015","1",,,,,,"0",,,
"10","10","0",,,,,,,"0","1","2",
"11","11","0",,,,"500",,,"0",,,
"12","12","0",,,,,,"300","0",,,
"13","13","0",,,,,"500",,"0",,,
"14","14","0",,,,,,,"115",,,
"15","15","0",,,,"1000",,,"0",,,
"16","16","0",,"1","1",,,,"0",,,
"17","17","0",,,,,,,"113",,,
"18","18","35015","1",,,,,,"0",,,
"19","19","0",,,,,,,"111",,,
"20","20","0",,,,,,,"0","7","3",
"21","21","0",,,,,,,"109",,,
"22","22","0",,"5","1",,,,"0",,,
"23","23","0",,,,,,,"107",,,
"24","24","0",,,,,,"500","0",,,
"25","25","0",,,,"1000",,,"0",,,
"26","26","0",,,,,,,"116",,,
"27","27","0",,,,,"1000",,"0",,,
"28","28","0",,,,,,,"114",,,
"29","29","0",,,,"1000",,,"0",,,
"30","30","0",,,,,,,"0","2","4",
"31","31","36967","1",,,,,,"0",,,
"32","32","0",,,,,,,"112",,,
"33","33","0",,,,,,"500","0",,,
"34","34","0",,,,,,,"110",,,
"35","35","35015","1",,,,,,"0",,,
"36","36","0",,,,,"1000",,"0",,,
"37","37","0",,,,,,,"108",,,
"38","38","0",,"2","1",,,,"0",,,
"39","39","0",,,,"1000",,,"0",,,
"40","40","0",,,,,,,"0","8","5",
"41","41","35079","3",,,,,,"0",,,
"42","42","0",,,,"1000",,,"0",,,
"43","43","0",,,,,,"500","0",,,
"44","44","36967","1",,,,,,"0",,,
"45","45","35015","1",,,,,,"0",,,
"46","46","0",,,,,"2000",,"0",,,
"47","47","0",,,,"5000",,,"0",,,
"48","48","35033","3",,,,,,"0",,,
"49","49","0",,,,,,"500","0",,,
"50","50","0",,,,,,,"0","3","6",
"51","51","35069","3",,,,,,"0",,,
"52","52","0",,,,,"2000",,"0",,,
"53","53","36967","2",,,,,,"0",,,
"54","54","35079","3",,,,,,"0",,,
"55","55","0",,,,,,"500","0",,,
"56","56","35015","2",,,,,,"0",,,
"57","57","0",,,,"5000",,,"0",,,
"58","58","36967","2",,,,,,"0",,,
"59","59","35033","3",,,,,,"0",,,
"60","60","0",,,,,,,"0","9","7",
"61","61","0",,,,,,"500","0",,,
"62","62","0",,,,,"2000",,"0",,,
"63","63","36966","1",,,,,,"0",,,
"64","64","35069","3",,,,,,"0",,,
"65","65","0",,,,,,"500","0",,,
"66","66","35015","2",,,,,,"0",,,
"67","67","0",,,,"5000",,,"0",,,
"68","68","36966","1",,,,,,"0",,,
"69","69","35079","3",,,,,,"0",,,
"70","70","0",,,,,,,"0","4","8",
"71","71","35015","3",,,,,,"0",,,
"72","72","0",,,,,"5000",,"0",,,
"73","73","0",,,,,,"500","0",,,
"74","74","35033","3",,,,,,"0",,,
"75","75","0",,,,,,,"0","10","9",
"76","76","35015","3",,,,,,"0",,,
"77","77","0",,,,"5000",,,"0",,,
"78","78","36966","1",,,,,,"0",,,
"79","79","35069","3",,,,,,"0",,,
"80","80","0",,,,,,"1000","0","5","10",
"81","81","0",,"6","50",,,,"0",,,
"82","82","0",,"7","50",,,,"0",,,
"83","83","0",,"8","50",,,,"0",,,
"84","84","35553","10",,,,,,"0",,,
"85","85","0",,,,,,,"0",,"11",
"86","86","0",,"9","20",,,,"0",,,
"87","87","0",,"10","20",,,,"0",,,
"88","88","0",,"11","20",,,,"0",,,
"89","89","35553","10",,,,,,"0",,,
"90","90","0",,,,,,,"0",,"12",
"91","91","0",,"12","2",,,,"0",,,
"92","92","0",,,,,,,"0",,,
"93","93","0",,,,,,,"0",,,
"94","94","0",,,,,,,"0",,,
"95","95","0",,,,,,,"0",,,
"96","96","0",,,,,,,"0",,,
"97","97","0",,,,,,,"0",,,
"98","98","0",,,,,,,"0",,,
"99","99","0",,,,,,,"0",,,
"100","100","0",,,,,,,"0",,,
