"1","パワーR_1回目","5000","1","35034","1","2","2",,,,,,,,,,,,
"2","パワーR_2回目","20000","2","35034","1","2","5","35035","1","3","1",,,,,,,,
"3","パワーSR_1回目","15000","2","35034","1","2","5","35035","1","3","2",,,,,,,,
"4","パワーSR_2回目","50000","2","35034","1","2","15","35035","1","3","5",,,,,,,,
"5","パワーSR_3回目","100000","2","35035","1","3","10","35036","1","4","1",,,,,,,,
"6","パワーSSR_1回目","50000","2","35034","1","2","10","35035","1","3","5",,,,,,,,
"7","パワーSSR_2回目","100000","2","35034","1","2","20","35035","1","3","10",,,,,,,,
"8","パワーSSR_3回目","200000","2","35035","1","3","15","35036","1","4","1",,,,,,,,
"9","パワーSSR_4回目","500000","2","35035","1","3","25","35036","1","4","3",,,,,,,,
"10","テクニックR_1回目","5000","1","35080","2","2","2",,,,,,,,,,,,
"11","テクニックR_2回目","20000","2","35080","2","2","5","35081","2","3","1",,,,,,,,
"12","テクニックSR_1回目","15000","2","35080","2","2","5","35081","2","3","2",,,,,,,,
"13","テクニックSR_2回目","50000","2","35080","2","2","15","35081","2","3","5",,,,,,,,
"14","テクニックSR_3回目","100000","2","35081","2","3","10","35082","2","4","1",,,,,,,,
"15","テクニックSSR_1回目","50000","2","35080","2","2","10","35081","2","3","5",,,,,,,,
"16","テクニックSSR_2回目","100000","2","35080","2","2","20","35081","2","3","10",,,,,,,,
"17","テクニックSSR_3回目","200000","2","35081","2","3","15","35082","2","4","1",,,,,,,,
"18","テクニックSSR_4回目","500000","2","35081","2","3","25","35082","2","4","3",,,,,,,,
"19","スタミナR_1回目","5000","1","35073","3","2","2",,,,,,,,,,,,
"20","スタミナR_2回目","20000","2","35073","3","2","5","35074","3","3","1",,,,,,,,
"21","スタミナSR_1回目","15000","2","35073","3","2","5","35074","3","3","2",,,,,,,,
"22","スタミナSR_2回目","50000","2","35073","3","2","15","35074","3","3","5",,,,,,,,
"23","スタミナSR_3回目","100000","2","35074","3","3","10","35075","3","4","1",,,,,,,,
"24","スタミナSSR_1回目","50000","2","35073","3","2","10","35074","3","3","5",,,,,,,,
"25","スタミナSSR_2回目","100000","2","35073","3","2","20","35074","3","3","10",,,,,,,,
"26","スタミナSSR_3回目","200000","2","35074","3","3","15","35075","3","4","1",,,,,,,,
"27","スタミナSSR_4回目","500000","2","35074","3","3","25","35075","3","4","3",,,,,,,,
"28","アピールR_1回目","5000","1","35005","4","2","2",,,,,,,,,,,,
"29","アピールR_2回目","20000","2","35005","4","2","5","35006","4","3","1",,,,,,,,
"30","アピールSR_1回目","15000","2","35005","4","2","5","35006","4","3","2",,,,,,,,
"31","アピールSR_2回目","50000","2","35005","4","2","15","35006","4","3","5",,,,,,,,
"32","アピールSR_3回目","100000","2","35006","4","3","10","35007","4","4","1",,,,,,,,
"33","アピールSSR_1回目","50000","2","35005","4","2","10","35006","4","3","5",,,,,,,,
"34","アピールSSR_2回目","100000","2","35005","4","2","20","35006","4","3","10",,,,,,,,
"35","アピールSSR_3回目","200000","2","35006","4","3","15","35007","4","4","1",,,,,,,,
"36","アピールSSR_4回目","500000","2","35006","4","3","25","35007","4","4","3",,,,,,,,
"37","新パワーSR_1回目","15000","2","35034","1","2","5","35035","1","3","2",,,,,,,,
"38","新パワーSR_2回目","50000","2","35034","1","2","15","35035","1","3","5",,,,,,,,
"39","新パワーSR_3回目","100000","2","35034","1","2","20","35035","1","3","12",,,,,,,,
"40","新テクニックSR_1回目","15000","2","35080","2","2","5","35081","2","3","2",,,,,,,,
"41","新テクニックSR_2回目","50000","2","35080","2","2","15","35081","2","3","5",,,,,,,,
"42","新テクニックSR_3回目","100000","2","35080","2","2","20","35081","2","3","12",,,,,,,,
"43","新スタミナSR_1回目","15000","2","35073","3","2","5","35074","3","3","2",,,,,,,,
"44","新スタミナSR_2回目","50000","2","35073","3","2","15","35074","3","3","5",,,,,,,,
"45","新スタミナSR_3回目","100000","2","35073","3","2","20","35074","3","3","12",,,,,,,,
"46","新アピールSR_1回目","15000","2","35005","4","2","5","35006","4","3","2",,,,,,,,
"47","新アピールSR_2回目","50000","2","35005","4","2","15","35006","4","3","5",,,,,,,,
"48","新アピールSR_3回目","100000","2","35005","4","2","20","35006","4","3","12",,,,,,,,
"49","アクセ：パワーR_1回目","5000","1","35645","1","2","3",,,,,,,,,,,,
"50","アクセ：パワーR_2回目","20000","2","35645","1","2","7","35646","1","3","1",,,,,,,,
"51","アクセ：パワーSR_1回目","15000","1","35645","1","2","5",,,,,,,,,,,,
"52","アクセ：パワーSR_2回目","50000","2","35645","1","2","10","35646","1","3","5",,,,,,,,
"53","アクセ：パワーSR_3回目","100000","3","35645","1","2","15","35646","1","3","10","35647","1","4","1",,,,
"54","アクセ：パワーSR_4回目","150000","3","35645","1","2","20","35646","1","3","10","35647","1","4","3",,,,
"55","アクセ：パワーSSR_1回目","50000","1","35645","1","2","10",,,,,,,,,,,,
"56","アクセ：パワーSSR_2回目","100000","2","35645","1","2","20","35646","1","3","10",,,,,,,,
"57","アクセ：パワーSSR_3回目","200000","3","35645","1","2","20","35646","1","3","10","35647","1","4","1",,,,
"58","アクセ：パワーSSR_4回目","500000","3","35645","1","2","30","35646","1","3","15","35647","1","4","2",,,,
"59","アクセ：パワーSSR_5回目","1000000","3","35645","1","2","30","35646","1","3","15","35647","1","4","4",,,,
"60","アクセ：パワーSSR_6回目","2000000","3","35645","1","2","40","35646","1","3","20","35647","1","4","8",,,,
"61","アクセ：テクニックR_1回目","5000","1","35659","2","2","3",,,,,,,,,,,,
"62","アクセ：テクニックR_2回目","20000","2","35659","2","2","7","35660","2","3","1",,,,,,,,
"63","アクセ：テクニックSR_1回目","15000","1","35659","2","2","5",,,,,,,,,,,,
"64","アクセ：テクニックSR_2回目","50000","2","35659","2","2","10","35660","2","3","5",,,,,,,,
"65","アクセ：テクニックSR_3回目","100000","3","35659","2","2","15","35660","2","3","10","35661","2","4","1",,,,
"66","アクセ：テクニックSR_4回目","150000","3","35659","2","2","20","35660","2","3","10","35661","2","4","3",,,,
"67","アクセ：テクニックSSR_1回目","50000","1","35659","2","2","10",,,,,,,,,,,,
"68","アクセ：テクニックSSR_2回目","100000","2","35659","2","2","20","35660","2","3","10",,,,,,,,
"69","アクセ：テクニックSSR_3回目","200000","3","35659","2","2","20","35660","2","3","10","35661","2","4","1",,,,
"70","アクセ：テクニックSSR_4回目","500000","3","35659","2","2","30","35660","2","3","15","35661","2","4","2",,,,
"71","アクセ：テクニックSSR_5回目","1000000","3","35659","2","2","30","35660","2","3","15","35661","2","4","4",,,,
"72","アクセ：テクニックSSR_6回目","2000000","3","35659","2","2","40","35660","2","3","20","35661","2","4","8",,,,
"73","アクセ：スタミナR_1回目","5000","1","35652","3","2","3",,,,,,,,,,,,
"74","アクセ：スタミナR_2回目","20000","2","35652","3","2","7","35653","3","3","1",,,,,,,,
"75","アクセ：スタミナSR_1回目","15000","1","35652","3","2","5",,,,,,,,,,,,
"76","アクセ：スタミナSR_2回目","50000","2","35652","3","2","10","35653","3","3","5",,,,,,,,
"77","アクセ：スタミナSR_3回目","100000","3","35652","3","2","15","35653","3","3","10","35654","3","4","1",,,,
"78","アクセ：スタミナSR_4回目","150000","3","35652","3","2","20","35653","3","3","10","35654","3","4","3",,,,
"79","アクセ：スタミナSSR_1回目","50000","1","35652","3","2","10",,,,,,,,,,,,
"80","アクセ：スタミナSSR_2回目","100000","2","35652","3","2","20","35653","3","3","10",,,,,,,,
"81","アクセ：スタミナSSR_3回目","200000","3","35652","3","2","20","35653","3","3","10","35654","3","4","1",,,,
"82","アクセ：スタミナSSR_4回目","500000","3","35652","3","2","30","35653","3","3","15","35654","3","4","2",,,,
