"2","200100","200200","200300","200400","200500","200600","200700","200800","200900","201000"
"3","300100","300200","300300","300400","300500","300600","300700","300800","300900","301000"
"4","400100","400200","400300","400400","400500","400600","400700","400800","400900","401000"
"5","500100","500200","500300","500400","500500","500600","500700","500800","500900","501000"
"6","600100","600200","600300","600400","600500","600600","600700","600800","600900","601000"
"7","700100","700200","700300","700400","700500","700600","700700","700800","700900","701000"
"8","800100","800200","800300","800400","800500","800600","800700","800800","800900","801000"
"9","900100","900200","900300","900400","900500","900600","900700","900800","900900","901000"
"10","1000100","1000200","1000300","1000400","1000500","1000600","1000700","1000800","1000900","1001000"
"11","1100100","1100200","1100300","1100400","1100500","1100600","1100700","1100800","1100900","1101000"
"12","1200100","1200200","1200300","1200400","1200500","1200600","1200700","1200800","1200900","1201000"
"13","1300100","1300200","1300300","1300400","1300500","1300600","1300700","1300800","1300900","1301000"
"14","1400100","1400200","1400300","1400400","1400500","1400600","1400700","1400800","1400900","1401000"
"15","1500100","1500200","1500300","1500400","1500500","1500600","1500700","1500800","1500900","1501000"
"16","1600100","1600200","1600300","1600400","1600500","1600600","1600700","1600800","1600900","1601000"
"17","1700100","1700200","1700300","1700400","1700500","1700600","1700700","1700800","1700900","1701000"
"18","1800100","1800200","1800300","1800400","1800500","1800600","1800700","1800800","1800900","1801000"
"19","1900100","1900200","1900300","1900400","1900500","1900600","1900700","1900800","1900900","1901000"
"20","2000100","2000200","2000300","2000400","2000500","2000600","2000700","2000800","2000900","2001000"
"21","2100100","2100200","2100300","2100400","2100500","2100600","2100700","2100800","2100900","2101000"
"22","2200100","2200200","2200300","2200400","2200500","2200600","2200700","2200800","2200900","2201000"
"23","2300100","2300200","2300300","2300400","2300500","2300600","2300700","2300800","2300900","2301000"
"24","2400100","2400200","2400300","2400400","2400500","2400600","2400700","2400800","2400900","2401000"
"25","2500100","2500200","2500300","2500400","2500500","2500600","2500700","2500800","2500900","2501000"
"26","2600100","2600200","2600300","2600400","2600500","2600600","2600700","2600800","2600900","2601000"
"27","2700100","2700200","2700300","2700400","2700500","2700600","2700700","2700800","2700900","2701000"
"28","2800100","2800200","2800300","2800400","2800500","2800600","2800700","2800800","2800900","2801000"
"29","2900100","2900200","2900300","2900400","2900500","2900600","2900700","2900800","2900900","2901000"
"30","3000100","3000200","3000300","3000400","3000500","3000600","3000700","3000800","3000900","3001000"
