"10001001","0","2","10000","2","1","3","8","5","9","6","1"
"10001002","0","2","10000","2","1","3","4","7","2","5","1"
"10002001","0","12","10000","2","1","2","2","9","5","1","1"
"10003001","0","12","10000","2","1","2","15","136","138","134","1"
"10003002","0","12","10000","2","1","2","19","138","140","139","1"
"10003003","0","12","10000","2","1","2","18","13","141","134","1"
"10003004","0","12","10000","2","1","2","14","16","135","137","1"
"10004001","0","3","10000","2","1","3","21","17","14","138","1"
"10005001","0","3","10000","2","1","3","29","15","18","139","1"
"10005002","0","3","10000","2","1","3","38","23","29","14","1"
"10005003","0","3","10000","2","1","3","39","26","30","15","1"
"10005004","0","3","10000","2","1","3","40","39","28","25","1"
"10006001","0","14","10000","2","1","3","22","16","13","139","1"
"10006002","0","14","10000","2","1","3","23","30","14","18","1"
"10006003","0","14","10000","2","1","3","31","24","22","13","1"
"10006004","0","14","10000","2","1","3","31","32","23","24","1"
"10007001","0","13","10000","2","1","3","43","38","31","29","1"
"10008001","0","13","10000","2","1","3","48","45","40","37","1"
"10008002","0","13","10000","2","1","3","59","41","48","32","1"
"10008003","0","13","10000","2","1","3","60","56","49","45","1"
"10008004","0","13","10000","2","1","3","58","59","50","45","1"
"10009001","0","2","10000","2","1","3","47","44","32","36","1"
"10009002","0","2","10000","2","1","3","51","50","43","39","1"
"10009003","0","2","10000","2","1","3","53","55","44","47","1"
"10009004","0","2","10000","2","1","3","52","54","41","43","1"
"10010001","0","4","10000","2","1","4","46","45","37","39","1"
"10010002","0","4","10000","2","1","4","55","49","46","38","1"
"10010003","0","4","10000","2","1","4","57","53","45","42","1"
"10010004","0","4","10000","2","1","4","56","55","47","49","1"
"10011001","0","12","10000","2","1","4","65","52","56","44","2"
"10012001","0","12","10000","2","1","4","70","68","59","55","2"
"10012002","0","12","10000","2","1","4","78","66","50","55","2"
"10012003","0","12","10000","2","1","4","79","74","48","63","2"
"10012004","0","12","10000","2","1","4","80","78","49","66","2"
"10013001","0","3","10000","2","1","4","63","64","51","52","2"
"10013002","0","3","10000","2","1","4","72","65","44","57","2"
"10013003","0","3","10000","2","1","4","74","79","43","68","2"
"10013004","0","3","10000","2","1","4","71","72","44","63","2"
"10014001","0","14","10000","2","1","5","155","67","76","59","1"
"10014002","0","14","10000","2","1","5","156","63","77","52","1"
"10014003","0","14","10000","2","1","5","157","160","76","78","1"
"10014004","0","14","10000","2","1","5","155","156","77","79","1"
"10015001","0","4","10000","2","1","5","84","78","73","69","2"
"10016001","0","4","10000","2","1","5","88","79","75","76","2"
"10016002","0","4","10000","2","1","5","90","85","88","77","2"
"10016003","0","4","10000","2","1","5","98","83","89","81","2"
"10016004","0","4","10000","2","1","5","100","89","88","85","2"
"10017001","0","13","10000","2","1","5","84","72","73","71","2"
"10017002","0","13","10000","2","1","5","81","89","84","78","2"
"10017003","0","13","10000","2","1","5","93","87","81","86","2"
"10017004","0","13","10000","2","1","5","91","84","82","83","2"
"10018001","0","2","10000","2","1","6","166","75","77","79","2"
"10018002","0","2","10000","2","1","6","167","88","86","79","2"
"10018003","0","2","10000","2","1","6","166","161","85","82","2"
"10018004","0","2","10000","2","1","6","165","167","86","89","2"
"10019001","0","12","10000","2","1","5","82","75","74","76","2"
"10019002","0","12","10000","2","1","5","88","84","89","83","2"
"10019003","0","12","10000","2","1","5","97","83","85","82","2"
"10019004","0","12","10000","2","1","5","99","81","88","84","2"
