"1","2017-11-15 13:00:00","2019-11-23 14:29:59","100","10"
"2","2019-11-23 14:30:00","2019-12-23 11:59:59","100","10"
"3","2019-12-23 12:00:00","2020-01-29 12:59:59","100","10"
"4","2020-01-29 13:00:00","2020-02-27 12:59:59","100","10"
"5","2020-02-27 13:00:00","2020-03-30 14:59:59","100","10"
"6","2020-03-30 15:00:00","2020-04-30 11:29:59","100","10"
"7","2020-04-30 11:30:00","2020-05-28 12:59:59","100","10"
"8","2020-05-28 13:00:00","2020-06-24 12:59:59","100","10"
"9","2020-06-24 13:00:00","2020-07-30 12:59:59","100","10"
"10","2020-07-30 13:00:00","2020-08-27 12:59:59","100","10"
"11","2020-08-27 13:00:00","2020-09-29 12:59:59","100","10"
"12","2020-09-29 13:00:00","2020-10-29 12:59:59","100","10"
"13","2020-10-29 13:00:00","2020-11-30 12:59:59","100","10"
"14","2020-11-30 13:00:00","2020-12-28 12:59:59","100","20"
"15","2020-12-28 13:00:00","2021-01-28 12:59:59","100","20"
"16","2021-01-28 13:00:00","2021-02-25 12:59:59","100","20"
"17","2021-02-25 13:00:00","2021-03-25 12:59:59","100","20"
"18","2021-03-25 13:00:00","2021-04-28 12:59:59","100","20"
"19","2021-04-28 13:00:00","2021-05-27 12:59:59","100","20"
"20","2021-05-27 13:00:00","2021-06-24 12:59:59","100","20"
"21","2021-06-24 13:00:00","2021-07-28 12:59:59","100","20"
"22","2021-07-28 13:00:00","2021-08-27 12:59:59","100","20"
"23","2021-08-27 13:00:00","2021-09-24 12:59:59","100","20"
"24","2021-09-24 13:00:00","2021-10-29 12:59:59","100","20"
"25","2021-10-29 13:00:00","2021-11-25 12:59:59","100","20"
"26","2021-11-25 13:00:00","2021-12-29 12:59:59","100","20"
"27","2021-12-29 13:00:00","2022-01-28 10:59:59","100","20"
"28","2022-01-28 11:00:00","2022-02-24 12:59:59","100","20"
"29","2022-02-24 13:00:00","2022-03-29 12:59:59","100","20"
"30","2022-03-29 13:00:00","2022-04-28 12:59:59","100","20"
"31","2022-04-28 13:00:00","2022-05-24 12:59:59","100","20"
"32","2022-05-24 13:00:00","2022-06-29 11:59:59","100","20"
"33","2022-06-29 12:00:00","2022-07-28 11:59:59","100","20"
"34","2022-07-28 12:00:00","2022-08-24 13:59:59","100","20"
"35","2022-08-24 14:00:00","2022-09-29 11:59:59","100","20"
"36","2022-09-29 12:00:00","2022-10-27 11:59:59","100","20"
"37","2022-10-27 12:00:00","2022-11-30 11:59:59","100","20"
"38","2022-11-30 12:00:00","2022-12-28 11:59:59","100","20"
"39","2022-12-28 12:00:00","2023-01-26 11:59:59","100","20"
"40","2023-01-26 12:00:00","2023-03-02 11:59:59","100","20"
"41","2023-03-02 12:00:00","2023-03-29 11:59:59","100","20"
"42","2023-03-29 12:00:00","2023-04-27 11:59:59","100","20"
"43","2023-04-27 12:00:00","2023-05-26 09:59:59","100","20"
"44","2023-05-26 10:00:00","2023-06-27 11:59:59","100","20"
