"1","262148","1",,,"0","1","1","1","29","0","10001002","0","101","6",,,,,"",,"",
"2","262149","1",,,"0","3","1","1","85","3","0","0","101","6",,,,,"",,"",
"3","262150","1",,,"0","4","1","1","85","4","0","0","101","6",,,,,"",,"",
"4","262151","1",,,"0","5","1","1","85","5","0","0","101","6",,,,,"",,"",
"5","262152","1",,,"0","6","1","1","85","6","0","0","101","6",,,,,"",,"",
"6","262153","1",,,"0","7","1","1","85","7","0","0","101","6",,,,,"",,"",
"7","262154","1",,,"0","8","1","1","85","8","0","0","101","6",,,,,"",,"",
"8","262155","1",,,"0","9","1","1","29","0","10029001","0","101","6",,,,,"",,"",
"9","262156","1",,,"0","17","1","1","22","10","0","0","121","6",,,,,"",,"",
"10","262157","1",,,"0","18","1","1","22","20","0","0","121","6",,,,,"",,"",
"11","262158","1",,,"0","19","1","1","22","30","0","0","121","6",,,,,"",,"",
"12","262159","1",,,"0","20","1","1","22","40","0","0","121","6",,,,,"",,"",
"13","262160","1",,,"0","21","1","1","22","50","0","0","121","6",,,,,"",,"",
"14","262161","1",,,"0","22","1","1","22","60","0","0","121","6",,,,,"",,"",
"15","262162","1",,,"0","23","1","1","22","70","0","0","121","6",,,,,"",,"",
"16","262163","1",,,"0","24","1","1","6","1","0","0","122","2",,,,,"",,"",
"17","262164","1",,,"0","25","1","1","6","10","0","0","122","2",,,,,"",,"",
"18","262165","1",,,"0","26","1","1","6","20","0","0","122","2",,,,,"",,"",
"19","262166","1",,,"0","27","1","1","6","50","0","0","122","2",,,,,"",,"",
"20","262167","1",,,"0","28","1","1","6","100","0","0","122","2",,,,,"",,"",
"21","262168","1",,,"0","29","1","1","6","150","0","0","122","2",,,,,"",,"",
"22","262169","1",,,"0","30","1","1","6","200","0","0","122","2",,,,,"",,"",
"23","262170","1",,,"0","31","1","1","6","250","0","0","122","2",,,,,"",,"",
"24","262171","1",,,"0","32","1","1","6","300","0","0","122","2",,,,,"",,"",
"25","262172","1",,,"0","33","1","1","6","350","0","0","122","2",,,,,"",,"",
"26","262173","1",,,"0","34","1","1","6","400","0","0","122","2",,,,,"",,"",
"27","262174","1",,,"0","35","1","1","6","450","0","0","122","2",,,,,"",,"",
"28","262175","1",,,"0","36","1","1","6","500","0","0","122","2",,,,,"",,"",
"29","262176","1",,,"0","37","1","1","6","550","0","0","122","2",,,,,"",,"",
"30","262177","1",,,"0","38","1","1","6","600","0","0","122","2",,,,,"",,"",
"31","262178","1",,,"0","39","1","1","6","650","0","0","122","2",,,,,"",,"",
"32","262179","1",,,"0","40","1","1","6","700","0","0","122","2",,,,,"",,"",
"33","262180","1",,,"0","41","1","1","6","750","0","0","122","2",,,,,"",,"",
"34","262181","1",,,"0","42","1","1","6","800","0","0","122","2",,,,,"",,"",
"35","262182","1",,,"0","43","1","1","6","850","0","0","122","2",,,,,"",,"",
"36","262183","1",,,"0","44","1","1","6","900","0","0","122","2",,,,,"",,"",
"37","262184","1",,,"0","45","1","1","6","950","0","0","122","2",,,,,"",,"",
"38","262185","1",,,"0","46","1","1","6","1000","0","0","122","2",,,,,"",,"",
"39","262186","1",,,"0","47","1","1","16","1","0","0","123","2",,,,,"",,"",
"40","262187","1",,,"0","48","1","1","16","10","0","0","123","2",,,,,"",,"",
"41","262188","1",,,"0","49","1","1","16","20","0","0","123","2",,,,,"",,"",
"42","262189","1",,,"0","50","1","1","16","50","0","0","123","2",,,,,"",,"",
"43","262190","1",,,"0","51","1","1","16","100","0","0","123","2",,,,,"",,"",
"44","262191","1",,,"0","52","1","1","16","150","0","0","123","2",,,,,"",,"",
"45","262192","1",,,"0","53","1","1","16","200","0","0","123","2",,,,,"",,"",
"46","262193","1",,,"0","54","1","1","16","250","0","0","123","2",,,,,"",,"",
"47","262194","1",,,"0","55","1","1","16","300","0","0","123","2",,,,,"",,"",
"48","262195","1",,,"0","56","1","1","16","350","0","0","123","2",,,,,"",,"",
"49","262196","1",,,"0","57","1","1","16","400","0","0","123","2",,,,,"",,"",
"50","262197","1",,,"0","58","1","1","16","450","0","0","123","2",,,,,"",,"",
"51","262198","1",,,"0","59","1","1","16","500","0","0","123","2",,,,,"",,"",
"52","262199","1",,,"0","60","1","1","16","550","0","0","123","2",,,,,"",,"",
"53","262200","1",,,"0","61","1","1","16","600","0","0","123","2",,,,,"",,"",
"54","262201","1",,,"0","62","1","1","16","650","0","0","123","2",,,,,"",,"",
"55","262202","1",,,"0","63","1","1","16","700","0","0","123","2",,,,,"",,"",
"56","262203","1",,,"0","64","1","1","16","750","0","0","123","2",,,,,"",,"",
"57","262204","1",,,"0","65","1","1","16","800","0","0","123","2",,,,,"",,"",
"58","262205","1",,,"0","66","1","1","16","850","0","0","123","2",,,,,"",,"",
"59","262206","1",,,"0","67","1","1","16","900","0","0","123","2",,,,,"",,"",
"60","262207","1",,,"0","68","1","1","16","950","0","0","123","2",,,,,"",,"",
"61","262208","1",,,"0","69","1","1","16","1000","0","0","123","2",,,,,"",,"",
"62","262209","1",,,"0","70","1","1","9","1","0","0","124","2",,,,,"",,"",
