"1","5040022",,,,,"6039023",
"1","3025023",,,"6026024",,"6024024",
"1","6039023",,"5040022",,,"6038024",
"1","6043023",,,"2044024",,"2042024",
"1","6047023",,,"7048024",,"2046024",
"1","2049023",,,"6050024",,"7048024",
"1","6020024",,,"2021025",,"6019025",
"1","6024024",,"3025023",,,"2023025",
"1","6026024",,,"2027025",,,"3025023"
"1","6028024",,,"2029025",,"2027025",
"1","3030024",,,"2031025",,"2029025",
"1","6038024",,"6039023",,"6038026",,
"1","2042024",,"6043023",,"6042026",,
"1","2044024",,,"6045025",,,"6043023"
"1","2046024",,"6047023",,,"6045025",
"1","7048024",,"2049023",,"2048026",,"6047023"
"1","6050024",,,,"3050026",,"2049023"
"1","6019025",,"6020024",,"2019027",,
"1","2021025",,,"6022026",,,"6020024"
"1","2023025",,"6024024",,,"6022026",
"1","2027025",,"6028024",,"7027027",,"6026024"
"1","2029025",,"3030024",,,,"6028024"
"1","2031025",,,"6032026",,,"3030024"
"1","6045025",,"2046024",,,,"2044024"
"1","6022026",,"2023025",,,,"2021025"
"1","6032026",,,,"2032028",,"2031025"
"1","6038026","6038024",,"7039027",,,
"1","6042026","2042024",,"2043027",,"2041027",
"1","2048026","7048024",,"6049027",,,
"1","3050026","6050024",,,,"6049027",
"1","2019027","6019025",,"2020028",,"2018028",
"1","7027027","2027025",,,,"2026028",
"1","7039027",,,"6040028",,,"6038026"
"1","2041027",,"6042026",,,"6040028",
"1","2043027",,,"6044028",,,"6042026"
"1","6049027",,"3050026",,,,"2048026"
"1","2018028",,"2019027",,"6018030",,
"1","2020028",,,,"6020030",,"2019027"
"1","2024028",,,"2025029",,"5023029",
"1","2026028",,"7027027",,,"2025029",
"1","2032028","6032026",,,,"6031029",
"1","3034028",,,,"3034030",,
"1","6040028",,"2041027",,"2040030",,"7039027"
"1","6044028",,,,"2044030",,"2043027"
"1","5023029",,"2024028",,,,
"1","2025029",,"2026028",,,,"2024028"
"1","6031029",,"2032028",,"2031031",,
"1","6018030","2018028",,"3019031",,,
"1","6020030","2020028",,,,"3019031",
"1","6028030",,,"2029031",,"2027031",
"1","3034030","3034028",,,,"3033031",
"1","2040030","6040028",,,"6040032",,
"1","2044030","6044028",,,"6044032",,
"1","3019031",,"6020030",,,,"6018030"
"1","2027031",,"6028030",,"2027033",,
"1","2029031",,,"6030032",,,"6028030"
"1","2031031","6031029",,,,"6030032",
"1","3033031",,"3034030",,"3033033",,
"1","5037031",,,,"6037033",,
"1","6047031",,,"6048032",,"6046032",
"1","6030032",,"2031031",,,,"2029031"
"1","6040032","2040030",,"2041033",,,
"1","6044032","2044030",,"7045033",,"2043033",
"1","6046032",,"6047031",,,"7045033",
"1","6048032",,,"5049033",,,"6047031"
"1","2023033",,,"6024034",,"6022034",
"1","2025033",,,"3026034",,"6024034",
"1","2027033","2027031",,,,"3026034",
"1","3033033","3033031",,,"7033035",,
"1","6037033","5037031",,"6038034",,,
"1","2041033",,,"2042034",,,"6040032"
"1","2043033",,"6044032",,,"2042034",
"1","7045033",,"6046032",,,,"6044032"
