"1","35030","1","150",,"35076","1","150",,"35066","1","150",,,,,,,,,,,,,,"35072","1","40",,"35013","200","100",,"35015","1","2",,,,,
"2","35030","1","150",,"35076","1","150",,"35066","1","150",,,,,,,,,,,,,,"35072","1","40",,"35013","200","100",,"35015","1","2",,,,,
"3","35031","1","100",,"35077","1","100",,"35067","1","100",,"35034","1","10",,"35080","1","10",,"35073","1","10",,"35072","1","60",,"35013","200","100",,"35015","1","3",,,,,
"4","35031","1","100",,"35077","1","100",,"35067","1","100",,"35034","1","10",,"35080","1","10",,"35073","1","10",,"35072","1","60",,"35013","200","100",,"35015","1","3",,,,,
"5","35032","1","100",,"35078","1","100",,"35068","1","100",,"35035","1","10",,"35081","1","10",,"35074","1","10",,"35072","1","80",,"35013","200","100",,"35015","1","6",,,,,
"6","35032","1","100",,"35078","1","100",,"35068","1","100",,"35035","1","10",,"35081","1","10",,"35074","1","10",,"35072","1","80",,"35013","200","100",,"35015","1","6",,,,,
"7","35033","1","100",,"35079","1","100",,"35069","1","100",,"35035","1","20",,"35081","1","20",,"35074","1","20",,"35072","1","100",,"35013","200","100",,"35015","1","12",,,,,
"8","35033","1","100",,"35079","1","100",,"35069","1","100",,"35035","1","20",,"35081","1","20",,"35074","1","20",,"35072","1","100",,"35013","200","100",,"35015","1","12",,,,,
"9","35118","1","10",,"35119","1","25",,"35120","1","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","35118","1","1",,"35119","1","10",,"35120","1","89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","35171","10","5",,"35171","5","10",,"35171","1","83",,"35172","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"12","35171","10","5",,"35171","5","10",,"35171","1","83",,"35168","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"13","35251","10","5",,"35251","5","10",,"35251","1","83",,"35254","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"14","35282","1","13","3","35032","15","13","5","35078","15","13","5","35068","15","13","5","35035","2","8","4","35081","2","8","4","35074","2","8","4","35034","5","8","5","35080","5","8","5","35073","5","8","5"
"15","35282","1","1","2","35033","1","1","2","35079","1","1","2","35069","1","1","2","35036","1","1","2","35082","1","1","2","35075","1","1","2","35229","1","1","1",,,,,,,,
"16","35323","10","5",,"35323","5","10",,"35323","1","83",,"35329","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"17","35327","10","5",,"35327","5","10",,"35327","1","83",,"35329","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"18","35329","1","1","2","35033","1","1","2","35079","1","1","2","35069","1","1","2","35036","1","1","2","35082","1","1","2","35075","1","1","2","35229","1","1","1",,,,,,,,
"19","35339","1","1","2","35033","1","1","2","35079","1","1","2","35069","1","1","2","35036","1","1","2","35082","1","1","2","35075","1","1","2","35229","1","1","1",,,,,,,,
"20","35352","1","1","2","35033","1","1","2","35079","1","1","2","35069","1","1","2","35036","1","1","2","35082","1","1","2","35075","1","1","2","35229","1","1","1",,,,,,,,
"21","35448","10","5",,"35448","5","10",,"35448","1","83",,"35448","1","2",,,,,,,,,,,,,,,,,,,,,,,,,
"22","35032","15","13","5","35078","15","13","5","35068","15","13","5","35035","2","8","4","35081","2","8","4","35074","2","8","4","35034","5","8","5","35080","5","8","5","35073","5","8","5",,,,
"23","35033","1","8","2","35079","1","8","2","35069","1","8","2","35036","1","8","2","35082","1","8","2","35075","1","8","2","35229","1","7","2",,,,,,,,,,,,
"24","35023","100000","5",,"35023","5000","10",,"35023","1000","85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25","35465","20","1",,"35033","1","1",,"35079","1","1",,"35069","1","1",,"35036","1","1",,"35082","1","1",,"35075","1","1",,"35229","1","1",,,,,,,,,
