"1","1","2051238660","2017-11-01 00:00:00","2017-12-26 15:59:59","1","2",,,,,,,,,,,,,
"2","2","2057784302","2017-09-20 04:00:00","2017-09-20 05:00:00",,,,,,,,,,,,,,,
"3","4","2071672596",,"2018-05-24 13:59:59","4",,,,,,,,,,,,,,
"4","5","2057769273",,,"5","10",,,,,,,,,,,,,
"5","3","2056076782","2017-11-01 00:00:00","2017-11-17 11:59:59","6",,,,,,,,,,,,,,
"6","3","2056076782","2017-11-17 12:00:00","2017-12-04 16:59:59","6","8","9",,,,,,,,,,,,
"7","3","2056076782","2023-02-09 12:00:00","2037-12-31 23:59:59","543","544","6",,,,,,,,,,,,
"8","6","684081685","2018-01-01 00:00:00","2021-09-16 13:14:59","11","21","524","308","309","310",,,,,,,,,
"9","7","902316309","2018-01-01 00:00:00","2021-09-16 13:14:59","12","22","525","311","312","313",,,,,,,,,
"10","8","700859413","2018-01-01 00:00:00","2021-09-16 13:14:59","13","23","526","314","315","316",,,,,,,,,
"11","9","987645973","2018-01-01 00:00:00","2021-09-16 13:14:59","14","24","527","317","318","319",,,,,,,,,
"12","10","886982421","2018-01-01 00:00:00","2021-09-16 13:14:59","15","25","528","320","321","322",,,,,,,,,
"13","11","818430485","2018-01-01 00:00:00","2021-09-16 13:14:59","16","26","529","323","324","325",,,,,,,,,
"14","12","919814421","2018-01-01 00:00:00","2021-09-16 13:14:59","17","27","530","326","327","328",,,,,,,,,
"15","13","919094293","2018-01-01 00:00:00","2021-09-16 13:14:59","18","28","531","329","330","331",,,,,,,,,
"16","14","935477525","2018-01-01 00:00:00","2021-09-16 13:14:59","19","29","532","332","333","334",,,,,,,,,
"17","15","684606485","2018-01-01 00:00:00","2021-09-16 13:14:59","20","30","533","335","336","337",,,,,,,,,
"18","1","882510022","2017-11-17 12:00:00","2017-12-04 03:59:59","1","2",,,,,,,,,,,,,
"19","3","1077930497","2017-12-04 17:00:00","2017-12-11 03:59:59","31","8","9","6",,,,,,,,,,,
"20","3","1079945793","2017-12-11 04:00:00","2017-12-12 12:59:59","31","6",,,,,,,,,,,,,
"21","3","1096706625","2017-12-12 13:00:00","2017-12-21 03:59:59","32","31","6",,,,,,,,,,,,
"22","3","1096723185","2017-12-21 04:00:00","2017-12-26 15:59:59","32","6",,,,,,,,,,,,,
"23","3","82428289","2017-12-26 16:00:00","2017-12-31 23:59:59","35","36","37","32","6",,,,,,,,,,
"24","3","71938537","2018-01-01 00:00:00","2018-01-17 03:59:59","35","36","37","6",,,,,,,,,,,
"25","1","248725458","2017-12-26 16:00:00","2017-12-31 23:59:59","33","1","2",,,,,,,,,,,,
"26","1","238268298","2017-01-01 00:00:00","2018-01-10 03:59:59","34","1","2",,,,,,,,,,,,
"27","1","2051238660","2023-02-09 12:00:00","2037-12-31 23:59:59","653","1","305","271","2",,,,,,,,,,
"28","1","194388762","2017-12-26 16:00:00","2018-01-10 03:59:59",,,,,,,,,,,,,,,
"30","16","902972693","2018-01-01 00:00:00","2021-09-16 13:14:59","38","39","534","338","339","340",,,,,,,,,
"31","1","882510022","2018-01-18 14:00:00","2018-02-01 03:59:59","1","2",,,,,,,,,,,,,
"32","3","1117546849","2018-01-18 14:00:00","2018-02-01 14:59:59","40","41","6",,,,,,,,,,,,
"33","3","1075718577","2018-02-01 15:00:00","2018-02-08 03:59:59","42","40","41","6",,,,,,,,,,,
"34","3","1077700977","2018-02-08 04:00:00","2018-02-14 23:59:59","43","42","6",,,,,,,,,,,,
"35","3","1079798033","2018-02-15 00:00:00","2018-03-01 03:59:59","43","6",,,,,,,,,,,,,
"36","1","935442678","2018-02-22 00:00:00","2018-02-26 03:59:59","44","1","2",,,,,,,,,,,,
"37","3","1136462177","2018-03-01 14:15:00","2018-03-15 14:59:59","45","6",,,,,,,,,,,,,
"38","3","1088162145","2018-03-15 15:00:00","2018-03-22 03:59:59","46","47","48","45","6",,,,,,,,,,
"39","3","1088276785","2018-03-22 04:00:00","2018-03-22 13:59:59","46","47","48","6",,,,,,,,,,,
"40","3","1188940081","2018-03-22 14:00:00","2018-03-28 23:59:59","49","46","47","48","6",,,,,,,,,,
"41","3","1184885217","2018-03-29 00:00:00","2018-04-12 03:59:59","49","6",,,,,,,,,,,,,
"42","1","937507798","2018-03-22 14:00:00","2018-03-29 12:59:59","50","1","2",,,,,,,,,,,,
"43","17","918969621","2018-01-01 00:00:00","2021-09-16 13:14:59","51","52","535","341","342","343",,,,,,,,,
"44","3","1079912465","2018-04-12 14:00:00","2018-04-19 13:59:59","54","55","56","6",,,,,,,,,,,
"45","1","931641399","2018-04-12 14:00:00","2018-04-26 03:59:59","53","1","2",,,,,,,,,,,,
"46","3","1125959745","2018-04-19 14:00:00","2018-04-26 13:59:59","54","55","57","56","6",,,,,,,,,,
"47","3","1109330065","2018-04-26 14:00:00","2018-05-02 03:59:59","58","54","55","57","56","6",,,,,,,,,
"48","3","1167984641","2018-05-02 04:00:00","2018-05-02 13:59:59","58","6",,,,,,,,,,,,,
"49","3","1168001201","2018-05-02 14:00:00","2018-05-08 23:59:59","59","60","58","6",,,,,,,,,,,
"50","3","1172097137","2018-05-09 00:00:00","2018-05-10 13:59:59","59","60","6",,,,,,,,,,,,
"51","3","1172211761","2018-05-10 14:00:00","2018-05-24 03:59:59","59","61","60","6",,,,,,,,,,,
"52","4","3829597","2023-02-09 12:00:00","2037-12-31 23:59:59","3","400","4","268",,,,,,,,,,,
"53","3","1086122225","2018-05-24 14:00:00","2018-06-07 13:59:59","62","6",,,,,,,,,,,,,
"54","1","921115287","2018-05-24 14:00:00","2018-05-31 12:59:59","63","1","2",,,,,,,,,,,,
"55","1","921140151","2018-05-31 13:00:00","2018-06-05 23:59:59","1","2",,,,,,,,,,,,,
"56","1","923138679","2018-06-06 00:00:00","2018-06-06 23:59:59","64","1","2",,,,,,,,,,,,
"57","3","1128015985","2018-06-07 14:00:00","2018-06-14 03:59:59","65","62","6",,,,,,,,,,,,
"58","3","1130162289","2018-06-14 04:00:00","2018-06-14 13:29:59","65","6",,,,,,,,,,,,,
"59","3","1146939505","2018-06-14 13:30:00","2018-06-20 23:59:59","66","65","6",,,,,,,,,,,,
"60","3","1142786273","2018-06-21 00:00:00","2018-06-28 13:29:59","66","6",,,,,,,,,,,,,
"61","1","935508919","2018-06-21 13:30:00","2018-06-28 03:59:59","68","1","2",,,,,,,,,,,,
"62","3","1176488161","2018-06-28 13:30:00","2018-07-05 03:59:59","71","66","6",,,,,,,,,,,,
"63","3","1186760737","2018-07-05 04:00:00","2018-07-05 13:29:59","71","6",,,,,,,,,,,,,
"64","18","851592469","2018-01-01 00:00:00","2021-09-16 13:14:59","69","70","536","344","345","346",,,,,,,,,
"65","3","1103073057","2018-07-05 13:30:00","2018-07-11 23:59:59","72","73","71","6",,,,,,,,,,,
"66","3","1105088273","2018-07-12 00:00:00","2018-07-12 13:29:59","72","73","6",,,,,,,,,,,,
"67","1","931551632","2018-07-05 13:30:00","2018-07-19 03:59:59","74","1","2",,,,,,,,,,,,
"68","3","1119768545","2018-07-12 13:30:00","2018-07-19 13:29:59","72","75","73","6",,,,,,,,,,,
"69","3","1138528017","2018-07-19 13:30:00","2018-07-26 03:59:59","76","77","75","73","6",,,,,,,,,,
"70","3","1138708433","2018-07-26 04:00:00","2018-07-26 12:59:59","76","77","6",,,,,,,,,,,,
"71","3","1151250337","2018-07-26 13:30:00","2018-08-01 23:59:59","78","79","77","6",,,,,,,,,,,
"72","3","1126149905","2018-08-02 00:00:00","2018-08-02 12:59:59","78","79","6",,,,,,,,,,,,
"73","3","1109372833","2018-08-02 13:00:00","2018-08-09 03:59:59","78","79","6",,,,,,,,,,,,
"74","3","1109225377","2018-08-09 04:00:00","2018-08-09 12:59:59","6",,,,,,,,,,,,,,
"75","3","1178496865","2018-08-09 13:30:00","2018-08-15 23:59:59","80","6",,,,,,,,,,,,,
"76","3","1182642033","2018-08-16 00:00:00","2018-08-23 13:29:59","80","6",,,,,,,,,,,,,
