"2","1000172","1000173","1000174","1000175","1000176","1000306","1000307","1000308","1000309","1000310"
"3","1000184","1000185","1000186","1000187","1000188","1000318","1000319","1000320","1000321","1000322"
"4","1000196","1000197","1000198","1000199","1000200","1000330","1000331","1000332","1000333","1000334"
"5","1000208","1000209","1000210","1000211","1000212","1000342","1000343","1000344","1000345","1000346"
"6","1000220","1000221","1000222","1000223","1000224","1000354","1000355","1000356","1000357","1000358"
"7","1000232","1000233","1000234","1000235","1000236","1000366","1000367","1000368","1000369","1000370"
"8","1000244","1000245","1000246","1000247","1000248","1000378","1000379","1000380","1000381","1000382"
"9","1000256","1000257","1000258","1000259","1000260","1000390","1000391","1000392","1000393","1000394"
"10","1000295","1000296","1000297","1000298","1000299","1000402","1000403","1000404","1000405","1000406"
"11","1000268","1000269","1000270","1000271","1000272","1000414","1000415","1000416","1000417","1000418"
"12","1000461","1000462","1000463","1000464","1000465","1000472","1000473","1000474","1000475","1000476"
"13","1000534","1000535","1000536","1000537","1000538","1000539","1000540","1000541","1000542","1000543"
"14","1000598","1000599","1000600","1000601","1000602","1000609","1000610","1000611","1000612","1000613"
"15","1000675","1000676","1000677","1000678","1000679","1000680","1000681","1000682","1000683","1000684"
"16","1000743","1000744","1000745","1000746","1000747","1000754","1000755","1000756","1000757","1000758"
"17","1000855","1000856","1000857","1000858","1000859","1000917","1000918","1000919","1000920","1000921"
"18","1000996","1000997","1000998","1000999","1001000","1001007","1001008","1001009","1001010","1001011"
"19","1001088","1001089","1001090","1001091","1001092","1001099","1001100","1001101","1001102","1001103"
"20","1001169","1001170","1001171","1001172","1001173","1001180","1001181","1001182","1001183","1001184"
"21","1001293","1001294","1001295","1001296","1001297","1001304","1001305","1001306","1001307","1001308"
"22","1001418","1001419","1001420","1001421","1001422","1001429","1001430","1001431","1001432","1001433"
"23","1001568","1001569","1001570","1001571","1001572","1001608","1001609","1001610","1001611","1001612"
"24","1001661","1001662","1001663","1001664","1001665","1001666","1001667","1001668","1001669","1001670"
"25","1001770","1001772","1001774","1001776","1001778","1001769","1001771","1001773","1001775","1001777"
"26","1001865","1001867","1001869","1001871","1001873","1001864","1001866","1001868","1001870","1001872"
"27","1001854","1001856","1001858","1001860","1001862","1001853","1001855","1001857","1001859","1001861"
"28","1002034","1002036","1002038","1002040","1002042","1002033","1002035","1002037","1002039","1002041"
"29","1002177","1002179","1002181","1002183","1002185","1002176","1002178","1002180","1002182","1002184"
