"1","1","0","9","2","5","2","5","2","5","2","5","2","10","2"
"2","1","0","9","3","5","3","5","2","5","2","5","2","20","2"
"3","1","0","9","4","6","4","5","3","5","2","5","2","30","2"
"4","1","1","9","5","7","5","7","4","5","2","5","2","30","3"
"5","1","1","9","6","7","6","7","5","5","2","5","2","40","4"
"6","1","2","9","7","8","7","7","6","5","2","5","2","40","4"
"7","1","3","9","8","9","7","7","6","6","2","5","2","40","5"
"8","1","4","15","9","10","9","8","8","7","6","5","2","50","6"
"9","2","5","15","10","11","9","9","9","8","8","5","2","60","6"
"10","2","6","15","10","12","9","10","9","8","8","5","2","70","7"
"11","2","8","15","11","13","9","11","9","8","8","5","2","100","7"
"12","2","10","15","12","14","9","12","9","8","8","5","2","120","7"
"13","2","12","15","13","15","10","13","9","8","8","5","2","150","8"
"14","2","15","15","13","15","10","15","9","8","8","5","2","200","8"
"15","2","20","15","13","15","10","15","9","8","8","5","2","250","8"
