"1","1","1","25","1","1","","393216","0","0","",""
"2","1","2","2","2","1","","393217","0","0","",""
"3","1","3","28","1","1","","393218","0","0","",""
"4","1","4","18","1","1","","393219","0","0","",""
"5","5","5","9","1","1","","393220","0","0","",""
"6","6","6","9","1","1","","393221","0","0","",""
"7","1","7","19","1","2","","393222","0","0","",""
"8","5","8","10","1","2","","393223","0","0","",""
"9","6","9","10","1","2","","393224","0","0","",""
"10","7","10","10","1","2","","393225","0","0","",""
"11","1","11","20","1","2","","393226","0","0","",""
"12","5","12","11","1","2","","393227","0","0","",""
"13","6","13","11","1","2","","393228","0","0","",""
"14","7","14","11","1","2","","393229","0","0","",""
"15","1","15","21","1","3","","393230","0","0","",""
"16","5","16","12","1","3","","393231","0","0","",""
"17","6","17","12","1","3","","393232","0","0","",""
"18","7","18","12","1","3","","393233","0","0","",""
"19","1","19","12","1","3","","393234","0","0","",""
"20","1","20","22","1","4","","393235","0","0","",""
"21","5","21","13","1","4","","393236","0","0","",""
"22","6","22","13","1","4","","393237","0","0","",""
"23","7","23","13","1","4","","393238","0","0","",""
"24","1","24","13","1","4","","393239","0","0","",""
"25","1","25","23","24","5","","393240","0","0","",""
"26","5","26","14","1","5","","393241","0","0","",""
"27","6","27","14","1","5","","393242","0","0","",""
"28","7","28","14","1","5","","393243","0","0","",""
"29","1","29","96","1","5","","393244","0","0","",""
"30","2","1","109","109","1","","393346","0","0","",""
"31","2","9","1","97","1","","393445","0","0","",""
"33","2","7","1","102","1","","393353","0","0","",""
"34","2","6","1","101","1","","393352","0","0","",""
"35","2","5","1","100","1","","393351","0","0","",""
"37","2","3","1","98","1","","393349","0","0","",""
"38","8","1","2","2","1","","393407","0","0","",""
"39","8","2","2","2","2","","393408","0","0","",""
"40","8","3","2","2","2","","393409","0","0","",""
"41","8","4","2","2","3","","393410","0","0","",""
"42","8","5","2","2","4","","393411","0","0","",""
"43","8","6","2","2","5","","393412","0","0","",""
"44","9","7","2","2","1","","393423","0","0","",""
"45","10","8","2","2","1","","393446","0","0","",""
"46","10","9","2","2","2","","393447","0","0","",""
"47","10","10","2","2","2","","393448","0","0","",""
"48","10","11","2","2","3","","393449","0","0","",""
"49","10","12","2","2","4","","393450","0","0","",""
"50","10","13","2","2","5","","393451","0","0","",""
"51","10","14","2","2","5","","393460","0","0","",""
"52","1","9998","2","2","1","","393437","0","0","",""
"53","8","15","2","2","1","","393463","0","0","",""
"54","8","16","2","2","2","","393464","0","0","",""
"55","8","17","2","2","2","","393465","0","0","",""
"56","8","18","2","2","3","","393466","0","0","",""
"57","8","19","2","2","4","","393467","0","0","",""
"58","8","20","2","2","5","","393468","0","0","",""
"59","10","21","257","257","1","","393478","0","0","",""
"60","10","22","265","265","2","","393479","0","0","",""
